cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,codigo_Postal,num_personas,num_personas_hombres,num_personas_mujeres,lineas_metro,salidas_metro,estaciones_metroligero,estaciones_cercanias,estacion_bus_urbano,num_lineas_buses,Renta neta media por persona,Renta neta media por hogar,Mediana de la renta por unidad de consumo,Renta bruta media por persona,Renta bruta media por hogar,Habitantes,Hogares,Tamaño medio del hogar,Tamaño del hogar (Nº de personas en la vivienda),hog_con_1,hog_con_2,hog_con_3,hog_con_4,hog_con_5,hog_con_6,hog_con_7,hog_con_8,hog_con_9,hog_con_10,hog_con_11,hog_con_12,hog_con_13,hog_con_14,hog_con_15 y más,Comercio y Servicios Minoristas,Entretenimiento y Ocio,Hostelería y Restauración,"Salud, Bienestar y Educación",Servicios Profesionales y Consultoría,Cultura y Entretenimiento
28079,Madrid,1,centro,16,sol,28013.0,8.164,4.239,3.925,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,,961.0,135.0,568.0,259.0
28079,Madrid,2,arganzuela,21,imperial,28005.0,22.385,10.421,11.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,33.0,3.0,8.0,0.0
28079,Madrid,2,arganzuela,22,acacias,28005.0,36.069,16.616,19.453,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,455.0,,216.0,249.0,319.0,235.0
28079,Madrid,2,arganzuela,23,chopera,28045.0,19.761,8.992,10.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,21.0,3.0,7.0,0.0
28079,Madrid,2,arganzuela,24,legazpi,28045.0,19.468,9.508,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,,120.0,86.0,251.0,80.0
28079,Madrid,2,arganzuela,25,delicias,28045.0,28.575,13.463,15.112,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,358.0,,194.0,136.0,237.0,126.0
28079,Madrid,2,arganzuela,26,palosdemoguer,28045.0,25.097,11.797,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,2,arganzuela,27,atocha,28045.0,1.949,957.0,992.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,49.0,17.0,147.0,13.0
28079,Madrid,3,retiro,31,pacifico,28007.0,33.027,14.809,18.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,2.0,2.0,20.0,0.0
28079,Madrid,3,retiro,32,adelfas,28007.0,18.832,8.699,10.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,80.0,67.0,158.0,84.0
28079,Madrid,3,retiro,33,estrella,28007.0,22.649,10.393,12.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,74.0,99.0,167.0,80.0
28079,Madrid,3,retiro,34,ibiza,28009.0,21.492,9.568,11.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,4.0,1.0,4.0,0.0
28079,Madrid,3,retiro,35,losjeronimos,28014.0,6.825,3.177,3.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,3,retiro,36,ninojesus,28009.0,15.093,6.812,8.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,4,salamanca,41,recoletos,28001.0,15.444,6.966,8.478,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,3.0,0.0,2.0,0.0
28079,Madrid,4,salamanca,42,goya,28001.0,29.477,12.872,16.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.0,,455.0,367.0,609.0,390.0
28079,Madrid,4,salamanca,43,fuentedelberro,28028.0,20.929,9.129,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,4,salamanca,44,guindalera,28028.0,41.964,19.006,22.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.0,,295.0,316.0,677.0,270.0
28079,Madrid,4,salamanca,45,lista,28006.0,20.969,9.056,11.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,1.0,1.0,2.0,0.0
28079,Madrid,4,salamanca,46,castellana,28006.0,16.919,7.423,9.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.0,,297.0,244.0,1025.0,257.0
28079,Madrid,5,chamartin,51,elviso,28002.0,17.274,7.81,9.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,5,chamartin,52,prosperidad,28002.0,36.027,16.072,19.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0,,272.0,228.0,499.0,220.0
28079,Madrid,5,chamartin,53,ciudadjardin,28002.0,18.513,8.234,10.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,5,chamartin,54,hispanoamerica,28016.0,31.47,14.159,17.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,1.0,0.0,5.0,0.0
28079,Madrid,5,chamartin,55,nuevaespana,28016.0,24.466,11.05,13.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,5,chamartin,56,castilla,28046.0,17.046,7.92,9.126,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,1.0,0.0
28079,Madrid,6,tetuan,61,bellasvistas,28039.0,29.355,13.428,15.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,6,tetuan,62,cuatrocaminos,28020.0,34.753,15.537,19.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,6,tetuan,63,castillejos,28020.0,20.57,9.239,11.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,,295.0,192.0,896.0,238.0
28079,Madrid,6,tetuan,64,almenara,28029.0,23.057,10.688,12.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,1.0,6.0,16.0,0.0
28079,Madrid,6,tetuan,65,valdeacederas,28029.0,26.573,12.442,14.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,137.0,78.0,293.0,158.0
28079,Madrid,6,tetuan,66,berruguete,28039.0,25.694,11.604,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,,156.0,99.0,297.0,142.0
28079,Madrid,7,chamberi,71,gaztambide,28015.0,22.959,10.157,12.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.0,,287.0,284.0,319.0,303.0
28079,Madrid,7,chamberi,72,arapiles,28015.0,24.19,10.831,13.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.0,,274.0,221.0,392.0,232.0
28079,Madrid,7,chamberi,73,trafalgar,28010.0,24.621,11.147,13.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,62.0,0.0,4.0,0.0
28079,Madrid,7,chamberi,74,almagro,28010.0,19.418,8.567,10.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,,311.0,309.0,875.0,238.0
28079,Madrid,7,chamberi,75,riosrosas,28003.0,27.163,11.828,15.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,7,chamberi,76,vallehermoso,28003.0,19.853,8.619,11.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,,182.0,225.0,320.0,132.0
28079,Madrid,8,fuencarral-el pardo,81,elpardo,28048.0,3.421,1.716,1.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,8,fuencarral-el pardo,82,fuentelarreina,28035.0,3.41,1.559,1.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,0.0,1.0,1.0,0.0
28079,Madrid,8,fuencarral-el pardo,83,penagrande,28035.0,44.341,20.597,23.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
