cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;codigo_Postal;num_personas;num_personas_hombres;num_personas_mujeres;total_transacciones;viv_nuevas_transacciones;viv_usadas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;num_lineas_buses;Renta neta media por persona;Renta neta media por hogar;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar;Habitantes;Hogares;Tamaño medio del hogar;Tamaño del hogar (Nº de personas en la vivienda);hog_con_1;hog_con_2;hog_con_3;hog_con_4;hog_con_5;hog_con_6;hog_con_7;hog_con_8;hog_con_9;hog_con_10;hog_con_11;hog_con_12;hog_con_13;hog_con_14;hog_con_15 y más
28079;Madrid;4; Salamanca;44;Guindalera;28028;41.964;19.006;22.958;555;71;484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;4; Salamanca;45;Lista;28006;20.969;9.056;11.913;247;2;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;4; Salamanca;46;Castellana;28006;16.919;7.423;9.496;189;3;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;51;ElViso;28002;17.274;7.810;9.464;184;6;178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;52;Prosperidad;28002;36.027;16.072;19.955;383;43;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;53;CiudadJardín;28002;18.513;8.234;10.279;267;52;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;54;Hispanoamérica;28016;31.470;14.159;17.311;311;12;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;55;NuevaEspaña;28016;24.466;11.050;13.416;186;26;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;56;Castilla;28046;17.046;7.920;9.126;149;4;145;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;6; Tetuán;61;BellasVistas;28039;29.355;13.428;15.927;230;5;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;6; Tetuán;62;CuatroCaminos;28020;34.753;15.537;19.216;416;20;396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;6; Tetuán;63;Castillejos;28020;20.570;9.239;11.331;289;5;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;6; Tetuán;64;Almenara;28029;23.057;10.688;12.369;303;56;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;6; Tetuán;65;Valdeacederas;28029;26.573;12.442;14.131;693;399;294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;6; Tetuán;66;Berruguete;28039;25.694;11.604;14.090;269;34;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;7; Chamberí;71;Gaztambide;28015;22.959;10.157;12.802;260;3;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;7; Chamberí;72;Arapiles;28015;24.190;10.831;13.359;312;25;287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;7; Chamberí;73;Trafalgar;28010;24.621;11.147;13.474;376;0;376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
