url;m2_constr;estado;amueblado;planta;codigo_postal;certificado_energetico;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;latitud;longitud;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;precio_mean_b;pm_tlogia_distrito;euro_m2_barrio;total_estaciones;habitaciones;m2_por_hab;atrib_lujo;atrib;serv_barrio;cod_barrio_frecuency;tipologia_Atico;tipologia_Casa;tipologia_Chalet;tipologia_Duplex;tipologia_Estudio;tipologia_Piso;antiguedad_10_30;antiguedad_30_50;antiguedad_5_10;antiguedad_Desconocido;antiguedad_mas_50;antiguedad_menos_5;tipo_inmueble_Desconocido;tipo_inmueble_económico;tipo_inmueble_lujo;tipo_inmueble_medio;tipo_inmueble_señorial;aire_Eficiente;aire_Normal;aire_Sin_Aire;tipo_suelo_Baldosa;tipo_suelo_Desconocido;tipo_suelo_Gres;tipo_suelo_Madera;tipo_suelo_Otros;tipo_suelo_Piedra;tipo_suelo_Radiante;grupo_cocina_Abierta;grupo_cocina_Amueblada;grupo_cocina_Desconocido;grupo_cocina_Equipada;grupo_cocina_Independiente;grupo_cocina_Isla;grupo_cocina_No__amueblada;grupo_cocina_Reformada;grupo_cocina_Sin_reforma;precio
https://www.indomio.es/anuncios/96561499/;357.0;0;0.0;0.0;28043;0.0;0.0;0.0;0.0;0.0;40º26'50.54'' N ;3º39'12.3'' W   ;12445;131;8;5.0;22440.0;2.46;28853.0;62.0;46.0;572705.0;0;0;0;832118.75;1225000.0;4920.140428677014;287.0;11.0;32.45454545454545;1.0;3.0;3792.0;16;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1700000.0
https://www.pisos.com/comprar/piso-pilar28029-41766075095_100200/;45.0;2;0.0;2.0;28048;0.0;0.0;0.0;0.0;0.0;40º31'25.35'' N ;3º46'45.77'' W  ;3421;24;0;3.0;28798.0;2.67;23923.0;53.0;48.0;2811379.0;0;0;0;948915.6797385621;446895.578125;3933.782182241851;469.0;2.0;22.5;1.0;3.0;660.0;153;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;135000.0
https://www.pisos.com/comprar/piso-lucero28011-45919088941_109300/;75.0;0;0.0;0.0;28047;0.0;0.0;0.0;0.0;0.0;40º24'11.4'' N  ;3º45'23.25'' W  ;36749;396;63;3.0;17267.0;2.49;30102.0;82.0;31.0;1047962.0;0;0;0;193143.58974358975;240031.54958677685;2654.1930937279776;324.0;3.0;25.0;2.0;3.0;3239.0;39;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;219000.0
https://www.pisos.com/comprar/piso-cortes_huertas28014-40835201924_524671/;112.0;4;1.0;2.0;28014;1.0;1.0;0.0;0.0;0.0;40º24'44.8'' N  ;3º41'37.98'' W  ;10816;180;0;7.0;27030.0;1.99;34155.0;43.0;48.0;223280.0;0;2;6;972655.5555555555;860668.2390194075;6711.134044937194;210.0;6.0;18.666666666666668;0.0;9.0;3240.0;117;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;989000.0
https://www.pisosmadrid.com.es/propiedad/4068706-piso-en-venta-en-sol-madrid;112.0;0;1.0;4.0;28013;0.0;0.0;0.0;0.0;0.0;40º25'8.03'' N  ;3º42'14.2'' W   ;8164;123;9;7.0;27030.0;1.99;34155.0;43.0;48.0;223280.0;0;0;0;871260.5238095238;860668.2390194075;6641.440417874365;210.0;6.0;18.666666666666668;0.0;4.0;3240.0;210;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;989000.0
https://www.pisos.com/comprar/piso-puente_de_vallecas_portazgo28038-47511445218_100500/;99.0;0;0.0;3.0;28018;0.0;1.0;0.0;0.0;0.0;40º23'25.94'' N ;3º38'58.4'' W   ;28741;308;56;1.0;13354.0;2.66;26108.0;123.0;50.0;1558120.0;0;0;0;184480.9090909091;177165.24092409242;2472.482485531526;321.0;5.0;19.8;2.0;4.0;1012.0;44;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;286000.0
https://www.indomio.es/anuncios/96752993/;78.0;0;0.0;2.0;28001;0.0;0.0;0.0;0.0;0.0;40º25'21.71'' N ;3º40'48.03'' W  ;29477;478;4;6.0;38751.0;2.28;24741.0;11.0;30.0;333527.0;0;0;0;1454598.3533568904;1750994.5573394496;10094.831395204064;205.0;4.0;19.5;1.0;3.0;7681.0;283;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1309000.0
https://www.pisos.com/comprar/piso-carabanchel_vista_alegre28025-44197296913_100200/;64.0;2;0.0;3.0;28025;0.0;0.0;0.0;0.0;0.0;40º23'20.68'' N ;3º44'6.97'' W   ;47727;505;36;3.0;15239.0;2.66;28825.0;139.0;57.0;1560282.0;0;0;0;219678.26086956522;218925.8589341693;2757.9694323144104;305.0;3.0;21.333333333333332;1.0;3.0;3422.0;69;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;179000.0
https://www.pisos.com/comprar/apartamento-san_diego28053-46670728370_440000/;72.0;2;1.0;4.0;28053;1.0;0.0;1.0;0.0;0.0;40º23'17.72'' N ;3º39'57.58'' W  ;45104;699;242;1.0;13354.0;2.66;26108.0;123.0;50.0;1558120.0;1;2;0;168361.2911392405;177165.24092409242;2359.5071846726983;321.0;2.0;36.0;1.0;9.0;1012.0;79;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;200000.0
https://www.redpiso.es/inmueble/piso-en-venta-en-calle-guadalcazar-entrevias-puente-de-vallecas-madrid-madrid-RP172024128536;108.0;0;0.0;2.0;28053;0.0;0.0;0.0;0.0;0.0;40º22'56.75'' N ;3º41'18.38'' W  ;35399;403;172;1.0;13354.0;2.66;26108.0;123.0;50.0;1558120.0;0;0;0;160582.34;177165.24092409242;1874.6479103432173;321.0;6.0;18.0;1.0;4.0;1012.0;50;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;179000.0
