,url,title,precio,dormitorios,banos,m2_constr,descripcion_extendida,referencia,tipologia,piscina,garaje,jardin,fecha_publicacion,n.visitas,calefaccion,trastero,amueblado,chimenea,videoportero,alarma,aire_acondicionado,zona,barrio,distrito,cod_distrito,cod_barrio,cod_barrio_2,codigo_Postal,web,fecha_descarga
650,https://www.pisosmadrid.com.es/propiedad/4057461-piso-en-venta-en-numancia-madrid,"Piso en venta en Numancia, Madrid",185.000 €,3 Dormitorio(s),1 baño,58 ,"Te presentamos esta encantadora planta baja ubicada en la tranquila calle Pico Anayet, en la zona de Numancia,  Madrid. Este hogar destaca por su luminosidad, gracias a sus amplios ventanales que permiten que la luz natu...",4057461,Piso,0.0,0.0,0.0,2024-10-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Numancia,Numancia,Puente de Vallecas,13,136,6,28038,pisosmadrid,24/10/2024
651,https://www.pisosmadrid.com.es/propiedad/4057888-apartamento-planta-baja-en-venta-en-salamanca-madrid,"Apartamento planta baja en venta en Salamanca, Madrid",1.149.000 €,2 Dormitorio(s),3 Baño(s),95 ,"Ubicación zona SALAMANCA. REFORMADO INTEGRALMENTE, AMUEBLADO de DISEÑO.~~¿Pensabas que ya no encontrarías una vivienda de LUJO en el corazón de Madrid capital para ENTRAR A VIVIR y ESTRENAR? … bueno, pues finalmente acab...",4057888,Apartamento,0.0,0.0,0.0,2024-10-08,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Salamanca,,Salamanca,4,,,,pisosmadrid,24/10/2024
652,https://www.pisosmadrid.com.es/propiedad/4057889-apartamento-planta-baja-en-venta-en-ibiza-madrid,"Apartamento planta baja en venta en Ibiza, Madrid",959.000 €,3 Dormitorio(s),3 Baño(s),104 ,"Ubicación zona SALAMANCA, zona IBIZA. REFORMADO INTEGRALMENTE, AMUEBLADO de DISEÑO.~~¿Pensabas que ya no encontrarías una vivienda de LUJO en el corazón de Madrid capital para ENTRAR A VIVIR y ESTRENAR? … bueno, pues fin...",4057889,Apartamento,0.0,0.0,0.0,2024-10-08,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Ibiza,Ibiza,Retiro,3,34,4,28009,pisosmadrid,24/10/2024
653,https://www.pisosmadrid.com.es/propiedad/4057891-piso-en-venta-en-lavapies-madrid,"Piso en venta en Lavapies, Madrid",539.000 €,1 ,1 baño,63 ,"Este apartamento reformado se encuentra en una primera planta, lo que garantiza una mayor tranquilidad. Con una superficie de 63 m², este acogedor espacio cuenta con una habitación, un baño completo y está completamente ...",4057891,Piso,0.0,0.0,0.0,2024-10-08,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Lavapies,,,,,,,pisosmadrid,24/10/2024
654,https://www.pisosmadrid.com.es/propiedad/4057893-piso-en-venta-en-ibiza-madrid,"Piso en venta en Ibiza, Madrid",1.149.000 €,3 Dormitorio(s),2 Baño(s),119 ,"Vivienda exclusiva en Alcalde Sainz de Baranda, 19, situada en el prestigioso Barrio del Retiro, en el centro de Madrid. Este encantador piso interior de 119 m².ofreciendo un ambiente elegante y moderno. La propiedad cue...",4057893,Piso,0.0,0.0,0.0,2024-10-08,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Ibiza,Ibiza,Retiro,3,34,4,28009,pisosmadrid,24/10/2024
655,https://www.pisosmadrid.com.es/propiedad/4057894-piso-en-venta-en-recoletos-madrid,"Piso en venta en Recoletos, Madrid",1.349.000 €,2 Dormitorio(s),2 Baño(s),120 ,"Ubicada en el prestigioso barrio de Salamanca, Madrid, esta vivienda en Goya 19, 1º D, es una oportunidad única para quienes buscan un hogar en una de las zonas más exclusivas de la ciudad. Situada en la primera planta d...",4057894,Piso,0.0,0.0,0.0,2024-10-08,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Recoletos,Recoletos,Salamanca,4,41,1,28001,pisosmadrid,24/10/2024
656,https://www.pisosmadrid.com.es/propiedad/4057895-piso-en-venta-en-goya-madrid,"Piso en venta en Goya, Madrid",1.789.000 €,2 Dormitorio(s),2 Baño(s),152 ,"Nos complace presentar esta impresionante vivienda totalmente reformada en Nuñez de Balboa 40, en el codiciado barrio de Salamanca, Madrid. Este elegante piso interior en la segunda planta ofrece 152 m² además de una peq...",4057895,Piso,0.0,1.0,0.0,2024-10-08,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Goya,Goya,Salamanca,4,42,2,28001,pisosmadrid,24/10/2024
657,https://www.pisosmadrid.com.es/propiedad/4057896-piso-en-venta-en-sol-madrid,"Piso en venta en Sol, Madrid",859.000 €,2 Dormitorio(s),2 Baño(s),81 ,"~Vive en el vibrante corazón de Madrid con este piso reformado en Carrera de San Jerónimo 3, en la cuarta planta de un elegante edificio histórico de 1920. Con 88 m² catastrales y 81 m² construidos, el inmueble cuenta co...",4057896,Piso,0.0,0.0,0.0,2024-10-08,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Sol,Sol,Centro,1,16,6,28013,pisosmadrid,24/10/2024
658,https://www.pisosmadrid.com.es/propiedad/4057897-piso-en-venta-en-salamanca-madrid,"Piso en venta en Salamanca, Madrid",892.500 €,2 Dormitorio(s),2 Baño(s),92 ,"Descubre las ventajas de vivir en el barrio de Salamanca - Lista, una de las zonas más exclusivas de Madrid. Conectado por diversas líneas de metro y autobús, disfrutarás de un acceso rápido a toda la ciudad. Este barrio...",4057897,Piso,0.0,0.0,0.0,2024-10-08,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Salamanca,Lista,Salamanca,4,45,5,28006,pisosmadrid,24/10/2024
659,https://www.pisosmadrid.com.es/propiedad/4057928-estudio-en-venta-en-retiro-madrid,"Estudio en venta en Retiro, Madrid",239.000 €,1 ,1 baño,40 ,"Inmobiliarias Encuentro vende en exclusiva este maravilloso estudio en buen estado, ubicada en uno de los barrios del Distrito Retiro en la Comunidad de Madrid, hacemos referencia al barrio de Adelfas.~~La vivienda está ...",4057928,Estudio,0.0,0.0,0.0,2024-10-08,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Retiro,Adelfas,Retiro,3,32,2,28007,pisosmadrid,24/10/2024
660,https://www.pisosmadrid.com.es/propiedad/4057939-atico-en-venta-en-mirasierra-madrid,"Atico en venta en Mirasierra, Madrid",1.350.000 €,3 Dormitorio(s),3 Baño(s),209 ,"Wall Estate Inmobiliaria tiene el placer de presentar en exclusiva un triplex espectacular situado en Mirasierra. Este luminoso inmueble de 209 m² construidos es una verdadera joya que combina comodidad y modernidad, ide...",4057939,Atico,1.0,1.0,1.0,2024-10-08,20.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Mirasierra,Mirasierra,Fuencarral-El Pardo,8,87,7,28035,pisosmadrid,24/10/2024
