OBJECTID,IDPOSTE,FECHAACTUAL,MODO,CODIGOESTACION,CODIGOPOSTE,OBSERVACIONES,IDENTIFICATIVO,CODIGOTIPOPOSTE,CODIGOEMPRESA,CODIGODARSENA,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,CODIGOMUNICIPIO,CODIGOPROVINCIA,FECHAMAQUETACIONTIRA,FECHACOLOCACIONTIRA,IDFESTACION
802,6_274_*,20240628,6,274,*,,PS,6,100,,20101001,,,440669.657,4471215.655,079,28,2003/01/01 00:00:00+00,,6_274
803,6_275_*,20240628,6,275,*,,PS,6,100,,20201015,,,441113.67419,4471562.91976,079,28,2003/01/01 00:00:00+00,,6_275
804,6_276_*,20240628,6,276,*,,PS,6,100,,20030101,,,440891.1273,4471840.8135,079,28,2003/01/01 00:00:00+00,,6_276
805,6_277_*,20240628,6,277,*,,PS,6,100,,20030101,,,440863.4753,4472156.7409,079,28,2003/01/01 00:00:00+00,,6_277
806,6_278_*,20240628,6,278,*,,PS,6,100,,20030101,,,440885.3475,4472367.9136,079,28,2003/01/01 00:00:00+00,,6_278
807,6_279_*,20240628,6,279,*,,PS,6,100,,20110531,,,440806.709,4472691.71,079,28,2003/01/01 00:00:00+00,,6_279
808,6_280_*,20240628,6,280,*,,PS,6,100,,20190507,,,441098.15062,4472682.88843,079,28,2003/01/01 00:00:00+00,,6_280
809,6_281_*,20240628,6,281,*,,PS,6,100,,20030101,,,441250.8964,4472888.2409,079,28,2003/01/01 00:00:00+00,,6_281
810,6_282_*,20240628,6,282,*,,PS,6,100,,20110705,,,441287.446,4473299.242,079,28,2003/01/01 00:00:00+00,,6_282
811,6_283_*,20240628,6,283,*,,PS,6,100,,20110708,,,441294.132,4473662.374,079,28,2003/01/01 00:00:00+00,,6_283
812,6_284_*,20240628,6,284,*,,PS,6,100,,20030101,,,440956.5131,4473865.9681,079,28,2003/01/01 00:00:00+00,,6_284
813,6_287_*,20240628,6,287,*,,PS,6,100,,20030101,,,441147.4725,4475712.9957,079,28,2003/01/01 00:00:00+00,,6_287
814,6_288_*,20240628,6,288,*,,PS,6,100,,20100316,,,441334.299,4475948.807,079,28,2003/01/01 00:00:00+00,,6_288
815,6_289_*,20240628,6,289,*,,PS,6,100,,20030101,,,441455.0065,4476184.2228,079,28,2003/01/01 00:00:00+00,,6_289
816,6_290_*,20240628,6,290,*,,PS,6,100,,20030101,,,441534.8214,4476485.114,079,28,2003/01/01 00:00:00+00,,6_290
817,6_292_*,20240628,6,292,*,,PS,6,100,,20180626,,,441541.4575,4476841.4862,079,28,2003/01/01 00:00:00+00,,6_292
818,6_293_*,20240628,6,293,*,,PS,6,100,,20180626,,,441469.9142,4477117.7591,079,28,2003/01/01 00:00:00+00,,6_293
819,6_294_*,20240628,6,294,*,,PS,6,100,,20180626,,,441498.368,4477435.224,079,28,2003/01/01 00:00:00+00,,6_294
820,6_295_*,20240628,6,295,*,,PS,6,100,,20030101,,,441557.805,4477701.7686,079,28,2003/01/01 00:00:00+00,,6_295
