m2_constr,distrito,cod_distrito,barrio,cod_barrio,letra_ce,tipologia,estado,amueblado,planta,dormitorios,banos,balcon,terraza,trastero,ascensor,antiguedad,jardin,tipo_inmueble,cancha_tenis,chimenea,exterior,piscina,porton_electrico,videoportero,armarios,codigo_postal,tipo_suelo,certificado_energetico,puerta_seguridad,orientacion_este,orientacion_oeste,orientacion_sur,aire,grupo_cocina,orientacion_norte,letra_emisiones,latitud,longitud,num_personas,total_transacciones,viv_nuevas_transacciones,lineas_metro,salidas_metro,estaciones_metroligero,estaciones_cercanias,estacion_bus_urbano,renta_bruta_media_por_persona,tamano_medio_del_hogar,tam_hogar,hog_con_10,hog_con_15_y_más,comercio_serviciosminoristas,hosteleria_restauracion,salud_bienestar_educacion,servicios_profesionales,cultura_entretenimiento,m2_areasverdes,ins_comunitaria,energia,eficiencia_carpinteria,num_garajes,cod_barrio_group,target,target_log
133.0,Salamanca,4,Goya,42,0,Piso,4,0.0,1.0,3.0,4.0,0,0,1,1,mas_50,0,Desconocido,0,0,2,0,0,0,4,28001,Madera,0,0,0,0,1,Normal,Desconocido,0,0,40º25'21.71'' N ,3º40'48.03'' W  ,29477.0,478.0,4.0,6.0,18.0,0.0,1.0,186.0,38751.0,2.28,24741.0,11.0,30.0,2470.0,1051.0,928.0,2315.0,917.0,333527.0,2,0,6,1.0,5,1430000.0,14.173185002236089
104.0,Villaverde,17,Villaverde Alto,171,0,Piso,2,0.0,3.0,2.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28021,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º19'22.54'' N ,3º41'33.28'' W  ,47817.0,11.0,0.0,1.0,4.0,0.0,5.0,193.0,13604.0,2.82,14009.0,78.0,28.0,139.0,64.0,45.0,79.0,54.0,711123.0,0,0,0,1.0,1,249000.0,12.425208175446844
155.0,Centro,1,Embajadores,12,0,Piso,2,0.0,5.0,4.0,2.0,0,1,0,1,mas_50,0,Desconocido,0,0,2,0,0,0,4,28012,Madera,0,0,1,0,0,Normal,Desconocido,0,0,40º24'36.91'' N ,3º42'16.42'' W  ,46204.0,750.0,9.0,7.0,27.0,0.0,2.0,181.0,27030.0,1.99,34155.0,43.0,48.0,1208.0,1054.0,137.0,582.0,259.0,223280.0,0,2,0,0.0,3,795000.0,13.586097393636468
69.0,Latina,10,Aluche,104,0,Piso,0,0.0,2.0,2.0,1.0,0,0,1,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28047,Desconocido,0,0,1,0,0,Desconocido,Desconocido,0,0,40º23'53.38'' N ,3º45'56.52'' W  ,66588.0,519.0,23.0,3.0,10.0,2.0,5.0,307.0,17267.0,2.49,30102.0,82.0,31.0,1223.0,499.0,366.0,628.0,523.0,1047962.0,0,0,0,1.0,2,0.0,-inf
56.0,Usera,12,Moscardó,125,0,Piso,0,0.0,1.0,2.0,1.0,0,0,0,1,mas_50,0,Desconocido,0,0,2,0,0,0,1,28026,Gres,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'17.28'' N ,3º42'2.06'' W   ,26579.0,176.0,17.0,2.0,4.0,0.0,2.0,186.0,13481.0,2.8,13483.0,77.0,26.0,1495.0,565.0,267.0,689.0,491.0,515144.0,0,2,0,1.0,1,165000.0,12.013700752882718
184.0,Chamberí,7,Almagro,74,0,Piso,4,0.0,1.0,3.0,3.0,0,0,1,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28010,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'36.89'' N ,3º41'31.6'' W   ,19418.0,310.0,34.0,9.0,22.0,0.0,0.0,151.0,36934.0,2.21,25648.0,21.0,39.0,1930.0,1116.0,1039.0,1910.0,905.0,19677.0,0,0,0,0.0,5,0.0,-inf
88.0,Centro,1,Universidad,15,0,Piso,2,0.0,2.0,2.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28015,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'32.9'' N  ,3º42'30.72'' W  ,32783.0,613.0,30.0,7.0,27.0,0.0,2.0,181.0,27030.0,1.99,34155.0,43.0,48.0,1208.0,1054.0,137.0,582.0,259.0,223280.0,0,0,0,0.0,4,499000.0,13.120361374733655
88.0,San Blas-Canillejas,20,Arcos,204,3,Piso,2,0.0,9.0,3.0,1.0,0,1,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28037,Desconocido,1,0,0,0,0,Normal,Amueblada,0,3,40º25'28.0'' N  ,3º37'8.52'' W   ,25354.0,237.0,11.0,3.0,10.0,0.0,0.0,275.0,19768.0,2.63,16710.0,44.0,26.0,1504.0,739.0,381.0,828.0,552.0,995950.0,0,3,6,1.0,2,0.0,-inf
35.0,Puente De Vallecas,13,Numancia,136,1,Piso,1,0.0,2.0,1.0,1.0,0,0,0,1,mas_50,0,Desconocido,0,0,1,0,0,0,1,28038,Gres,0,0,0,0,0,Desconocido,Desconocido,0,1,40º24'19.79'' N ,3º39'24.0'' W   ,48720.0,546.0,94.0,1.0,7.0,0.0,3.0,311.0,13354.0,2.66,26108.0,123.0,50.0,423.0,137.0,90.0,189.0,173.0,1558120.0,1,0,0,1.0,1,108000.0,11.589886506106357
52.0,Carabanchel,11,Abrantes,117,0,Piso,0,0.0,2.0,2.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28041,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º22'35.7'' N  ,3º43'10.93'' W  ,31691.0,317.0,20.0,3.0,16.0,0.0,0.0,289.0,15239.0,2.66,28825.0,139.0,57.0,1332.0,483.0,298.0,854.0,455.0,1560282.0,0,0,0,0.0,1,0.0,-inf
47.0,Fuencarral-El Pardo,8,El Pardo,81,0,Piso,2,0.0,2.0,1.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28048,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º31'25.35'' N ,3º46'45.77'' W  ,3421.0,24.0,0.0,3.0,14.0,2.0,5.0,448.0,28798.0,2.67,23923.0,53.0,48.0,197.0,95.0,148.0,121.0,99.0,2811379.0,0,0,0,1.0,5,0.0,-inf
113.0,Salamanca,4,Goya,42,0,Piso,0,1.0,2.0,2.0,2.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,1,1,28001,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'21.71'' N ,3º40'48.03'' W  ,29477.0,478.0,4.0,6.0,18.0,0.0,1.0,186.0,38751.0,2.28,24741.0,11.0,30.0,2470.0,1051.0,928.0,2315.0,917.0,333527.0,0,0,0,1.0,5,1129000.0,13.9368428431318
72.0,Chamartín,5,Prosperidad,52,0,Atico,0,0.0,3.0,3.0,2.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28002,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º26'29.76'' N ,3º40'13.18'' W  ,36027.0,383.0,43.0,7.0,20.0,0.0,1.0,275.0,42678.0,2.45,20435.0,32.0,45.0,693.0,274.0,228.0,505.0,220.0,214209.0,0,0,0,1.0,5,380000.0,12.847926531702567
65.0,Fuencarral-El Pardo,8,El Pardo,81,0,Piso,2,0.0,6.0,2.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28048,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º31'25.35'' N ,3º46'45.77'' W  ,3421.0,24.0,0.0,3.0,14.0,2.0,5.0,448.0,28798.0,2.67,23923.0,53.0,48.0,197.0,95.0,148.0,121.0,99.0,2811379.0,0,0,0,1.0,5,314900.0,12.660010407089116
100.0,Ciudad Lineal,15,Pueblo Nuevo,152,0,Piso,0,0.0,5.0,3.0,2.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28017,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º26'0.24'' N  ,3º38'13.63'' W  ,62840.0,774.0,31.0,5.0,14.0,1.0,0.0,272.0,22440.0,2.46,28853.0,62.0,46.0,1211.0,517.0,459.0,1049.0,556.0,572705.0,0,0,0,1.0,2,389000.0,12.871334622600584
40.0,Salamanca,4,Recoletos,41,0,Piso,2,0.0,7.0,0.0,1.0,1,1,0,1,Desconocido,0,lujo,0,0,1,0,0,0,1,28001,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º25'19.05'' N ,3º40'53.05'' W  ,15444.0,243.0,8.0,6.0,18.0,0.0,1.0,186.0,38751.0,2.28,24741.0,11.0,30.0,2470.0,1051.0,928.0,2315.0,917.0,333527.0,1,0,0,1.0,5,470000.0,13.060487973686241
223.0,Salamanca,4,Recoletos,41,0,Piso,5,1.0,2.0,3.0,4.0,0,1,0,1,mas_50,0,Desconocido,0,0,2,0,0,0,1,28001,Madera,0,0,1,0,0,Normal,Desconocido,0,0,40º25'19.05'' N ,3º40'53.05'' W  ,15444.0,243.0,8.0,6.0,18.0,0.0,1.0,186.0,38751.0,2.28,24741.0,11.0,30.0,2470.0,1051.0,928.0,2315.0,917.0,333527.0,0,0,0,1.0,5,3300000.0,15.009433026436708
55.0,Fuencarral-El Pardo,8,El Pardo,81,1,Piso,1,0.0,2.5,2.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28048,Desconocido,0,0,0,0,1,Desconocido,Desconocido,0,1,40º31'25.35'' N ,3º46'45.77'' W  ,3421.0,24.0,0.0,3.0,14.0,2.0,5.0,448.0,28798.0,2.67,23923.0,53.0,48.0,197.0,95.0,148.0,121.0,99.0,2811379.0,0,0,0,1.0,5,205000.0,12.230765258120545
265.0,Centro,1,Cortes,13,0,Piso,1,0.0,4.0,5.0,5.0,0,0,0,1,mas_50,0,lujo,0,0,1,0,0,0,1,28014,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º24'44.8'' N  ,3º41'37.98'' W  ,10816.0,180.0,0.0,7.0,27.0,0.0,2.0,181.0,27030.0,1.99,34155.0,43.0,48.0,1208.0,1054.0,137.0,582.0,259.0,223280.0,0,0,0,0.0,5,0.0,-inf
58.0,Villaverde,17,San Cristóbal,172,0,Piso,3,0.0,2.0,3.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28021,Baldosa,0,0,0,0,0,Normal,Desconocido,0,0,40º20'14.79'' N ,3º41'32.37'' W  ,17270.0,316.0,75.0,1.0,4.0,0.0,5.0,193.0,13604.0,2.82,14009.0,78.0,28.0,139.0,64.0,45.0,79.0,54.0,711123.0,0,2,0,1.0,1,127500.0,11.755871643580617
60.0,Ciudad Lineal,15,San Pascual,155,0,Piso,0,0.0,7.0,2.0,1.0,0,0,0,1,mas_50,0,económico,0,0,1,0,0,0,1,28027,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º26'49.61'' N ,3º39'11.61'' W  ,18327.0,171.0,0.0,5.0,14.0,1.0,0.0,272.0,22440.0,2.46,28853.0,62.0,46.0,1211.0,517.0,459.0,1049.0,556.0,572705.0,1,0,0,1.0,3,0.0,-inf
88.0,Centro,1,Sol,16,0,Piso,5,1.0,3.0,2.0,2.0,1,0,0,1,mas_50,0,Desconocido,0,0,2,0,0,0,2,28013,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º25'8.03'' N  ,3º42'14.2'' W   ,8164.0,123.0,9.0,7.0,27.0,0.0,2.0,181.0,27030.0,1.99,34155.0,43.0,48.0,1208.0,1054.0,137.0,582.0,259.0,223280.0,1,3,0,0.0,4,859000.0,13.66352420096639
152.0,Salamanca,4,Recoletos,41,0,Piso,2,0.0,2.0,2.0,2.0,1,1,0,1,30_50,0,lujo,0,0,1,0,0,0,1,28001,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º25'19.05'' N ,3º40'53.05'' W  ,15444.0,243.0,8.0,6.0,18.0,0.0,1.0,186.0,38751.0,2.28,24741.0,11.0,30.0,2470.0,1051.0,928.0,2315.0,917.0,333527.0,1,0,0,1.0,5,0.0,-inf
230.0,Usera,12,Orcasur,122,0,Piso,0,0.0,1.0,4.0,2.0,0,0,1,1,Desconocido,0,Desconocido,0,0,2,0,0,0,4,28041,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º22'6.09'' N  ,3º42'6.24'' W   ,14390.0,12.0,2.0,2.0,4.0,0.0,2.0,186.0,13481.0,2.8,13483.0,77.0,26.0,1495.0,565.0,267.0,689.0,491.0,515144.0,0,0,0,1.0,3,599000.0,13.303016877097585
346.0,Chamartín,5,Prosperidad,52,0,Piso,0,0.0,3.0,4.0,5.0,0,1,1,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28002,Desconocido,0,0,0,0,0,Eficiente,Independiente,0,0,40º26'29.76'' N ,3º40'13.18'' W  ,36027.0,383.0,43.0,7.0,20.0,0.0,1.0,275.0,42678.0,2.45,20435.0,32.0,45.0,693.0,274.0,228.0,505.0,220.0,214209.0,0,0,0,1.0,5,1875000.0,14.444119217386648
378.0,Chamberí,7,Almagro,74,0,Piso,3,0.0,2.0,4.0,3.0,0,0,1,1,Desconocido,0,Desconocido,0,0,2,0,0,0,5,28010,Desconocido,0,0,0,1,1,Desconocido,Desconocido,0,0,40º25'36.89'' N ,3º41'31.6'' W   ,19418.0,310.0,34.0,9.0,22.0,0.0,0.0,151.0,36934.0,2.21,25648.0,21.0,39.0,1930.0,1116.0,1039.0,1910.0,905.0,19677.0,0,0,0,1.0,5,3850000.0,15.163583706263967
145.0,Moncloa-Aravaca,9,Argüelles,92,0,Piso,0,0.0,3.0,4.0,3.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28008,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'53.4'' N  ,3º43'1.87'' W   ,24497.0,333.0,88.0,6.0,14.0,1.0,3.0,351.0,36592.0,2.58,14738.0,26.0,59.0,532.0,200.0,235.0,347.0,207.0,19901426.0,0,0,0,1.0,4,949000.0,13.763164077592066
160.0,Chamartín,5,El Viso,51,0,Piso,0,0.0,3.0,2.0,2.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28002,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º26'53.58'' N ,3º41'6.87'' W   ,17274.0,184.0,6.0,7.0,20.0,0.0,1.0,275.0,42678.0,2.45,20435.0,32.0,45.0,693.0,274.0,228.0,505.0,220.0,214209.0,0,0,0,1.0,5,0.0,-inf
64.0,Latina,10,Las Águilas,107,0,Piso,3,0.0,2.0,2.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28044,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º23'30.31'' N ,3º46'26.84'' W  ,51268.0,379.0,44.0,3.0,10.0,2.0,5.0,307.0,17267.0,2.49,30102.0,82.0,31.0,1223.0,499.0,366.0,628.0,523.0,1047962.0,1,0,0,1.0,1,164000.0,12.007621706806336
72.0,Carabanchel,11,Vista Alegre,114,0,Piso,0,0.0,2.0,3.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28025,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'20.68'' N ,3º44'6.97'' W   ,47727.0,505.0,36.0,3.0,16.0,0.0,0.0,289.0,15239.0,2.66,28825.0,139.0,57.0,1332.0,483.0,298.0,854.0,455.0,1560282.0,0,0,0,1.0,1,279000.0,12.538967060803504
125.0,Centro,1,Cortes,13,0,Casa,0,0.0,0.0,4.0,2.0,0,1,0,0,30_50,2,lujo,0,1,1,0,0,0,1,28014,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º24'44.8'' N  ,3º41'37.98'' W  ,10816.0,180.0,0.0,7.0,27.0,0.0,2.0,181.0,27030.0,1.99,34155.0,43.0,48.0,1208.0,1054.0,137.0,582.0,259.0,223280.0,0,0,0,0.0,5,825000.0,13.623138665316818
185.0,Retiro,3,Jerónimos,35,0,Piso,0,1.0,1.0,3.0,3.0,0,0,0,1,Desconocido,0,Desconocido,0,1,1,0,0,0,1,28014,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º24'53.39'' N ,3º41'27.46'' W  ,6825.0,82.0,0.0,4.0,8.0,0.0,0.0,138.0,33396.0,2.39,16179.0,10.0,13.0,408.0,160.0,169.0,349.0,164.0,1427833.0,0,0,0,1.0,5,985000.0,13.800396920154226
133.0,Retiro,3,Ibiza,34,5,Piso,5,1.0,4.0,2.0,2.0,1,0,0,1,mas_50,0,Desconocido,0,0,2,0,0,0,4,28009,Madera,1,0,0,0,0,Normal,Desconocido,0,5,40º25'1.9'' N   ,3º40'41.21'' W  ,21492.0,257.0,0.0,4.0,8.0,0.0,0.0,138.0,33396.0,2.39,16179.0,10.0,13.0,408.0,160.0,169.0,349.0,164.0,1427833.0,0,2,6,1.0,5,1679000.0,14.333708936059677
81.0,Puente De Vallecas,13,Numancia,136,0,Piso,2,0.0,3.0,2.0,1.0,0,0,0,1,mas_50,0,Desconocido,0,0,1,0,0,0,1,28038,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º24'19.79'' N ,3º39'24.0'' W   ,48720.0,546.0,94.0,1.0,7.0,0.0,3.0,311.0,13354.0,2.66,26108.0,123.0,50.0,423.0,137.0,90.0,189.0,173.0,1558120.0,0,0,0,1.0,1,175000.0,12.072541252905651
229.0,Salamanca,4,Lista,45,0,Piso,0,1.0,2.0,3.0,4.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28006,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'54.02'' N ,3º40'23.99'' W  ,20969.0,247.0,2.0,6.0,18.0,0.0,1.0,186.0,38751.0,2.28,24741.0,11.0,30.0,2470.0,1051.0,928.0,2315.0,917.0,333527.0,0,0,0,1.0,5,2239000.0,14.621539895580893
49.0,Centro,1,Justicia,14,0,Piso,1,0.0,5.0,2.0,1.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28004,Desconocido,0,0,0,1,0,Normal,Desconocido,0,0,40º25'8.76'' N  ,3º41'48.96'' W  ,18219.0,323.0,0.0,7.0,27.0,0.0,2.0,181.0,27030.0,1.99,34155.0,43.0,48.0,1208.0,1054.0,137.0,582.0,259.0,223280.0,1,0,0,0.0,5,340000.0,12.736700896592344
95.0,Puente De Vallecas,13,San Diego,132,0,Piso,1,0.0,3.0,4.0,2.0,0,0,0,1,mas_50,0,Desconocido,0,0,1,0,0,0,1,28053,Madera,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'17.72'' N ,3º39'57.58'' W  ,45104.0,699.0,242.0,1.0,7.0,0.0,3.0,311.0,13354.0,2.66,26108.0,123.0,50.0,423.0,137.0,90.0,189.0,173.0,1558120.0,1,3,0,1.0,1,172000.0,12.05524975579559
153.0,Chamartín,5,Nueva España,55,1,Piso,0,0.0,3.0,3.0,2.0,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28016,Desconocido,1,0,0,0,0,Desconocido,Desconocido,0,1,40º27'53.32'' N ,3º40'54.53'' W  ,24466.0,186.0,26.0,7.0,20.0,0.0,1.0,275.0,42678.0,2.45,20435.0,32.0,45.0,693.0,274.0,228.0,505.0,220.0,214209.0,0,0,0,1.0,5,899000.0,13.709038313453757
115.0,Centro,1,Universidad,15,0,Piso,1,0.0,2.0,3.0,2.0,0,0,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28015,Madera,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'32.9'' N  ,3º42'30.72'' W  ,32783.0,613.0,30.0,7.0,27.0,0.0,2.0,181.0,27030.0,1.99,34155.0,43.0,48.0,1208.0,1054.0,137.0,582.0,259.0,223280.0,0,3,0,0.0,4,445000.0,13.005829561148376
74.0,Villaverde,17,Villaverde Alto,171,0,Piso,0,0.0,3.0,3.0,2.0,0,1,0,1,menos_5,0,Desconocido,0,0,2,0,0,0,1,28021,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º19'22.54'' N ,3º41'33.28'' W  ,47817.0,11.0,0.0,1.0,4.0,0.0,5.0,193.0,13604.0,2.82,14009.0,78.0,28.0,139.0,64.0,45.0,79.0,54.0,711123.0,0,0,0,1.0,1,160000.0,11.982929094215963
