banos,cod_barrio,cod_barrio_group,cod_distrito,codigo_postal,comercio_serviciosminoristas,cultura_entretenimiento,dormitorios,hog_con_10,lineas_metro,m2_constr,num_personas,renta_bruta_media_por_persona,salud_bienestar_educacion,servicios_profesionales,target,target_log,tipo_inmueble
5.0,23,4,0,13,1208.0,259.0,5.0,43.0,7.0,336.0,10816.0,27030.0,137.0,582.0,460000.0,13.038981768465277,0
3.0,126,4,20,21,532.0,207.0,4.0,26.0,6.0,156.0,7156.0,36592.0,235.0,347.0,1090000.0,13.901688254205327,0
1.0,9,1,2,18,1332.0,455.0,3.0,139.0,3.0,87.0,33883.0,15239.0,298.0,854.0,138600.0,11.83934736573794,0
2.0,74,2,13,39,399.0,108.0,4.0,3.0,2.0,119.0,19685.0,27125.0,125.0,522.0,450000.0,13.017002861746503,0
1.0,11,0,2,23,1332.0,455.0,1.0,139.0,3.0,117.0,47727.0,15239.0,298.0,854.0,399000.0,12.896716695872,0
3.0,52,4,7,47,1114.0,486.0,5.0,38.0,2.0,178.0,69176.0,29047.0,596.0,1135.0,960000.0,13.774688563444018,0
4.0,128,4,20,21,532.0,207.0,5.0,26.0,6.0,450.0,27445.0,36592.0,235.0,347.0,1298800.0,14.076951319210828,0
1.0,53,0,8,20,139.0,54.0,2.0,78.0,1.0,75.0,47817.0,13604.0,45.0,79.0,250000.0,12.429216196844385,0
3.0,98,4,16,1,693.0,220.0,3.0,32.0,7.0,84.0,36027.0,42678.0,228.0,505.0,675000.0,13.422467969854667,2
1.0,2,0,1,44,1223.0,523.0,1.0,82.0,3.0,56.0,36749.0,17267.0,366.0,628.0,189900.0,12.154252896800376,0
2.0,74,2,13,39,399.0,108.0,4.0,3.0,2.0,156.0,19685.0,27125.0,125.0,522.0,629000.0,13.351886535682578,0
1.0,71,1,12,34,1504.0,552.0,2.0,44.0,3.0,57.0,29067.0,19768.0,381.0,828.0,163000.0,12.0015054797889,0
2.0,24,0,4,46,423.0,173.0,3.0,123.0,1.0,107.0,35399.0,13354.0,90.0,189.0,205000.0,12.230765258120545,0
1.0,35,1,5,28,752.0,321.0,2.0,19.0,9.0,53.0,16885.0,20091.0,237.0,309.0,0.0,-inf,1
3.0,92,4,15,0,2470.0,917.0,3.0,11.0,6.0,137.0,29477.0,38751.0,928.0,2315.0,0.0,-inf,0
2.0,7,3,0,12,1208.0,259.0,2.0,43.0,7.0,99.0,23501.0,27030.0,137.0,582.0,829000.0,13.627975434117433,0
1.0,66,0,12,34,1504.0,552.0,2.0,44.0,3.0,44.0,9555.0,19768.0,381.0,828.0,155000.0,11.951180395901384,1
3.0,88,4,14,8,408.0,164.0,3.0,10.0,4.0,138.0,21492.0,33396.0,169.0,349.0,1425000.0,14.169682371684889,0
1.0,98,4,16,1,693.0,220.0,3.0,32.0,7.0,136.0,36027.0,42678.0,228.0,505.0,0.0,-inf,2
1.0,25,0,4,46,423.0,173.0,1.0,123.0,1.0,21.0,45104.0,13354.0,90.0,189.0,69313.0,11.146387757772745,0
2.0,91,4,15,0,2470.0,917.0,2.0,11.0,6.0,78.0,15444.0,38751.0,928.0,2315.0,1100000.0,13.9108207377686,0
2.0,102,3,16,43,693.0,220.0,5.0,32.0,7.0,144.0,17046.0,42678.0,228.0,505.0,700000.0,13.458835614025542,0
3.0,93,3,15,26,2470.0,917.0,5.0,11.0,6.0,230.0,20929.0,38751.0,928.0,2315.0,1800000.0,14.403297222866392,2
2.0,96,4,15,5,2470.0,917.0,2.0,11.0,6.0,149.0,16919.0,38751.0,928.0,2315.0,1359000.0,14.122259693133282,0
1.0,63,1,10,30,180.0,92.0,2.0,23.0,1.0,46.0,17760.0,18214.0,72.0,52.0,0.0,-inf,0
2.0,58,0,9,29,0.0,0.0,3.0,27.0,1.0,102.0,40417.0,17346.0,0.0,0.0,214000.0,12.273731294003989,0
2.0,92,4,15,0,2470.0,917.0,2.0,11.0,6.0,162.0,29477.0,38751.0,928.0,2315.0,1769000.0,14.385924973141922,0
3.0,49,3,7,40,1114.0,486.0,5.0,38.0,2.0,210.0,39786.0,29047.0,596.0,1135.0,990000.0,13.805460222110773,0
2.0,6,0,1,41,1223.0,523.0,3.0,82.0,3.0,80.0,51268.0,17267.0,366.0,628.0,0.0,-inf,0
1.0,76,1,13,39,399.0,108.0,1.0,3.0,2.0,45.0,7384.0,27125.0,125.0,522.0,0.0,-inf,0
