hog_con_15_y_más;codigo_postal;serv_barrio;m2_por_hab;energia;habitantes;renta_bruta_media_por_persona;atrib_lujo;viv_nuevas_transacciones;planta;ins_comunitaria;atrib;num_personas;diferencia_precio_renta;estado;m2_areasverdes;cod_barrio;cod_distrito;m2_constr;habitaciones;total_transacciones;precio_mean_b;tamano_medio_del_hogar;total_estaciones;hog_con_10;eficiencia_carpinteria;lineas_metro;tam_hogar;amueblado;url;certificado_energetico;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;tipologia_Atico;tipologia_Piso;tipologia_infrequent_sklearn;antiguedad_10_30;antiguedad_30_50;antiguedad_Desconocido;antiguedad_mas_50;antiguedad_infrequent_sklearn;tipo_inmueble_Desconocido;tipo_inmueble_lujo;tipo_inmueble_infrequent_sklearn;aire_Desconocido;aire_Normal;aire_infrequent_sklearn;tipo_suelo_Desconocido;tipo_suelo_Madera;tipo_suelo_infrequent_sklearn;grupo_cocina_Desconocido;grupo_cocina_Independiente;grupo_cocina_infrequent_sklearn;target;tipologia_Chalet
0.0;-0.30107528;1.4775939;0.5714286;0;-0.12772554;0.5769544;0;0.6969697;-0.5;0;1.0;-0.28467473;1.5318006;2.0;-0.3498232;0.09638554;0.125;0.60240966;0.33333334;0.0;1.5314795;-0.51428574;-0.3490566;-0.5365854;5;0.75;0.107745305;1.0;https://www.indomio.es/anuncios/95939105/;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1.0806075;0
-1.45;0.5591398;-0.5555107;-0.83630955;0;-0.9009267;-0.40422928;0;0.060606062;0.0;0;0.0;-0.39875254;-0.48245317;0.5;0.0;0.9518072;1.0;-0.18072289;0.6666667;-0.6307054;-0.50038135;0.2;-0.44339624;-0.58536583;0;0.75;-1.6008554;0.0;https://www.pisos.com/comprar/piso-fontarron-47522681248_100500/;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;-0.14135514;0
-0.45;-0.47311828;1.7928946;-0.2857143;3;0.0;0.6828032;0;-0.27272728;0.0;0;1.0;-0.19981398;0.53214425;-0.5;-0.11470139;-0.25301206;-0.25;-0.45783132;-0.33333334;-0.2614108;0.5331793;-0.31428573;-0.047169812;-0.7804878;0;0.0;0.0;0.0;https://www.indomio.es/anuncios/96874559/;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0.028037382;0
0.55;1.548387;-0.89947516;-0.18154761;0;1.6336366;-0.7966911;0;4.878788;2.0;0;-0.5;0.5897029;-0.58261347;-0.5;0.8027067;0.78313255;0.875;0.3493976;0.6666667;0.38589212;-0.60726935;0.7714286;1.0471698;1.9512196;0;-1.25;0.16239011;0.0;https://www.pisos.com/comprar/piso-puente_de_vallecas_entrevias28053-42585791226_100200/;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;-0.38785046;0
0.35;0.0;0.22285022;-0.53125;0;1.2715148;-0.26738903;0;0.6060606;-0.5;0;-1.0;2.091098;-0.460963;-0.5;0.06447964;1.0361446;1.125;-0.3493976;0.0;1.9253112;-0.47655147;0.2;0.7264151;0.46341464;0;-0.25;0.48847708;0.0;https://www.indomio.es/anuncios/96543375/;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;-0.3843458;0
0.45;1.3333334;-1.0415826;-0.16666667;2;1.7501533;0.10299429;1;-0.33333334;0.5;0;0.0;-1.1599277;0.18804906;0.0;1.74159;0.18072289;0.25;-0.40963855;-0.33333334;-1.186722;0.17905733;0.8;2.4433963;0.24390244;0;-0.75;-0.09717272;0.0;https://www.redpiso.es/inmueble/piso-en-venta-en-plaza-pico-salvaguardia-penagrande-fuencarral-el-pardo-madrid-madrid-RP722024130086;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;-0.31542057;0
0.45;1.3333334;-1.0415826;4.7224026;0;1.7501533;0.10299429;6;-0.33333334;-1.0;0;0.0;-1.1599277;0.18804906;1.0;1.74159;0.18072289;0.25;18.987951;6.0;-1.186722;0.17905733;0.8;2.4433963;0.24390244;0;-0.75;-0.09717272;0.0;https://www.pisos.com/comprar/chalet-fuencarral_el_pardo_el_pardo28023-46668989227_102100/;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;9.959112;0
-0.35;1.6344086;0.28017762;1.6984127;0;0.8975368;0.11749971;3;7.6060605;-1.0;0;-0.5;2.4377632;0.1505443;0.5;0.9525771;1.2048193;1.25;3.3975904;1.6666666;1.5103735;0.14178282;0.74285716;1.235849;-0.12195122;0;-1.0;-0.64492756;0.0;https://www.indomio.es/anuncios/95285937/;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;2.0035048;0
-0.65;0.86021507;0.30843762;0.6964286;0;0.26432613;-0.42304555;0;-0.060606062;0.5;0;-0.5;0.22673306;-0.40514284;2.0;0.38155508;1.626506;1.75;-0.43373495;-0.6666667;0.19917013;-0.42335695;0.6857143;0.7075472;0.024390243;0;-0.75;-0.95402706;0.0;https://www.pisos.com/comprar/piso-san_blas_simancas28037-4570959880_109700/;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;-0.25116822;0
-0.45;0.47311828;1.7928946;-0.30357143;0;0.0;0.6828032;0;-0.3030303;2.5;0;-0.5;-0.20200251;-0.08825531;0.5;-0.11470139;-0.27710843;-0.25;0.012048192;0.33333334;-0.22821577;-0.0874972;-0.31428573;-0.047169812;-0.7804878;0;0.0;0.0;0.0;https://www.indomio.es/anuncios/96910895/;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0.17628504;0
