m2_constr;distrito;cod_distrito;barrio;cod_barrio;letra_ce;tipologia;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;antiguedad;jardin;tipo_inmueble;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;codigo_postal;tipo_suelo;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;aire;grupo_cocina;orientacion_norte;letra_emisiones;latitud;longitud;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;target;precio_mean_b;pm_tlogia_distrito;euro_m2_barrio;total_estaciones;habitaciones;m2_por_hab;atrib_lujo;atrib;serv_barrio;cod_barrio_frecuency;precio
162.0;Salamanca;4;Goya;42;0;Piso;2;0.0;6.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'21.71'' N ;3º40'48.03'' W  ;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1769000;1480537.9;1769842.4;10122.084;205;4;40.5;1;3.0;7681;346;1769000
71.0;Usera;12;Moscardó;125;1;Piso;0;0.0;3.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28026;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;1;40º23'17.28'' N ;3º42'2.06'' W   ;26579;176;17;2;4;0;2;186;13481;2.8;13483;77;26;1495;565;267;689;491;515144;0;0;0;1;1;350000;212515.39;224598.0;2985.089;192;4;17.75;1;4.0;3507;26;350000
132.0;Chamberí;7;Almagro;74;0;Piso;2;0.0;2.0;2;3;1;0;0;0;mas_50;0;lujo;0;0;1;0;0;0;1;28010;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;40º25'36.89'' N ;3º41'31.6'' W   ;19418;310;34;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;1;0;0;1;5;920000;2368570.0;1373545.5;10201.327;173;5;26.4;1;3.0;6900;126;920000
78.0;Centro;1;Universidad;15;0;Piso;0;0.0;2.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28015;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'32.9'' N  ;3º42'30.72'' W  ;32783;613;30;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;370000;724757.8;870158.06;6883.6953;210;4;19.5;0;3.0;3240;325;370000
120.0;Carabanchel;11;Vista Alegre;114;0;Chalet;3;0.0;0.0;3;2;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28025;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'20.68'' N ;3º44'6.97'' W   ;47727;505;36;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;1;2;0;1;1;220000;233879.31;422333.34;2859.4014;305;5;24.0;1;3.0;3422;87;220000
65.0;Latina;10;Puerta Del Ángel;102;0;Piso;0;0.0;4.0;3;1;0;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28011;Gres;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'43.74'' N ;3º44'8.38'' W   ;43292;532;117;3;10;2;5;307;17267;2.49;30102;82;31;1223;499;366;628;523;1047962;1;3;0;1;2;160000;323134.53;244581.98;3741.5579;324;4;16.25;1;4.0;3239;55;160000
118.0;Usera;12;Zofío;126;0;Piso;0;0.0;1.0;4;2;0;0;1;1;Desconocido;1;Desconocido;0;0;1;0;0;0;1;28026;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º22'35.51'' N ;3º43'9.14'' W   ;14382;133;9;2;4;0;2;186;13481;2.8;13483;77;26;1495;565;267;689;491;515144;0;0;0;0;1;230000;189491.58;224598.0;2672.0317;192;6;19.666666;2;3.0;3507;12;230000
104.0;Carabanchel;11;Vista Alegre;114;0;Piso;0;0.0;2.0;3;2;0;0;1;1;Desconocido;1;Desconocido;0;0;1;0;0;0;1;28025;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'20.68'' N ;3º44'6.97'' W   ;47727;505;36;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;0;1;419900;233879.31;220952.16;2859.4014;305;5;20.8;2;3.0;3422;87;419900
30.0;Puente De Vallecas;13;Portazgo;135;0;Piso;0;0.0;2.0;2;1;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28018;Gres;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'25.94'' N ;3º38'58.4'' W   ;28741;308;56;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;3;0;1;1;120000;183641.16;174892.8;2438.678;321;3;10.0;1;3.0;1012;56;120000
46.0;San Blas-Canillejas;20;Rejas;206;0;Piso;2;0.0;2.0;1;1;1;0;0;1;10_30;0;Desconocido;0;0;1;0;0;0;1;28037;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;40º26'59.83'' N ;3º35'46.49'' W  ;17399;694;506;3;10;0;0;275;19768;2.63;16710;44;26;1504;739;381;828;552;995950;0;0;0;1;3;245000;387707.03;245671.58;3096.2378;285;2;23.0;1;4.0;4004;32;245000
239.0;San Blas-Canillejas;20;Canillejas;207;0;Atico;0;0.0;9.0;6;4;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28037;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º26'58.48'' N ;3º37'10.41'' W  ;29067;320;3;3;10;0;0;275;19768;2.63;16710;44;26;1504;739;381;828;552;995950;0;0;0;1;2;1295000;330917.34;655200.0;3322.9795;285;10;23.9;1;3.0;4004;64;1295000
86.0;Villaverde;17;Villaverde Alto;171;3;Piso;4;0.0;2.0;2;2;0;0;0;1;10_30;0;Desconocido;0;0;1;0;0;0;1;28021;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;3;40º19'22.54'' N ;3º41'33.28'' W  ;47817;11;0;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;0;0;1;1;255000;218009.73;167689.4;2441.1577;202;4;21.5;1;6.0;381;85;255000
135.0;Villaverde;17;Los Rosales;175;0;Piso;0;0.0;2.0;3;2;0;0;0;1;Desconocido;1;Desconocido;0;0;1;0;0;0;1;28021;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º21'42.15'' N ;3º41'45.9'' W   ;34827;9;1;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;0;0;1;1;121000;175014.0;167689.4;2112.9834;202;5;27.0;2;3.0;381;50;121000
46.0;Puente De Vallecas;13;San Diego;132;0;Estudio;5;0.0;4.0;0;1;0;1;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28053;Madera;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'17.72'' N ;3º39'57.58'' W  ;45104;699;242;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;0;0;1;1;202000;171103.42;127216.664;2466.8286;321;1;46.0;2;3.0;1012;94;202000
95.0;Villaverde;17;Los Ángeles;174;0;Piso;1;0.0;2.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28021;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º21'39.54'' N ;3º41'27.56'' W  ;37808;336;68;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;0;0;1;1;240000;166681.86;167689.4;1943.426;202;5;19.0;1;3.0;381;41;240000
44.0;Centro;1;Embajadores;12;0;Piso;4;1.0;2.0;1;1;0;1;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28012;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'36.91'' N ;3º42'16.42'' W  ;46204;750;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;3;265000;474367.94;870158.06;5945.187;210;2;22.0;1;5.0;3240;205;265000
88.0;Centro;1;Sol;16;0;Piso;0;1.0;2.0;2;2;0;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'8.03'' N  ;3º42'14.2'' W   ;8164;123;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;859000;908933.5;870158.06;6600.1484;210;4;22.0;0;5.0;3240;266;859000
93.0;Centro;1;Universidad;15;0;Piso;0;0.0;2.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28015;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'32.9'' N  ;3º42'30.72'' W  ;32783;613;30;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;759000;724757.8;870158.06;6883.6953;210;4;23.25;0;3.0;3240;325;759000
112.0;Centro;1;Cortes;13;3;Piso;4;1.0;2.0;3;3;1;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28014;Madera;1;0;1;0;0;Normal;Amueblada;0;3;40º24'44.8'' N  ;3º41'37.98'' W  ;10816;180;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;2;6;0;5;989000;984085.9;870158.06;6772.3047;210;6;18.666666;0;9.0;3240;145;989000
154.0;Salamanca;4;Goya;42;0;Piso;4;1.0;4.0;3;3;1;0;1;1;mas_50;0;Desconocido;0;0;2;0;0;0;4;28001;Madera;0;0;0;0;1;Normal;Desconocido;0;0;40º25'21.71'' N ;3º40'48.03'' W  ;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;2;0;1;5;1800000;1480537.9;1769842.4;10122.084;205;6;25.666666;2;9.0;7681;346;1800000
71.0;Carabanchel;11;Vista Alegre;114;0;Piso;2;0.0;4.0;2;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28025;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'20.68'' N ;3º44'6.97'' W   ;47727;505;36;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;1;0;0;1;1;240000;233879.31;220952.16;2859.4014;305;3;23.666666;1;3.0;3422;87;240000
60.0;Carabanchel;11;Puerta Bonita;115;0;Piso;3;0.0;3.0;2;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28025;Gres;0;0;0;0;0;Normal;Desconocido;0;0;40º22'31.78'' N ;3º44'6.01'' W   ;36798;400;44;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;1;0;0;1;1;146050;203148.19;220952.16;2684.6013;305;3;20.0;1;4.0;3422;67;146050
182.0;Chamartín;5;Nueva España;55;0;Piso;1;0.0;4.0;4;2;0;1;0;1;mas_50;0;lujo;0;0;1;0;0;0;1;28016;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º27'53.32'' N ;3º40'54.53'' W  ;24466;186;26;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;0;0;1;5;1155000;1502470.9;1120715.5;6819.482;296;6;30.333334;2;3.0;1920;103;1155000
40.0;Puente De Vallecas;13;San Diego;132;0;Piso;2;0.0;2.0;1;2;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28053;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'17.72'' N ;3º39'57.58'' W  ;45104;699;242;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;0;0;1;1;120000;171103.42;174892.8;2466.8286;321;3;13.333333;1;3.0;1012;94;120000
73.0;Moratalaz;14;Pavones;141;0;Piso;1;0.0;3.0;3;1;0;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28030;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'41.36'' N ;3º38'20.97'' W  ;8814;58;4;9;4;0;0;159;20091;2.46;11265;19;10;752;245;237;309;321;486635;1;0;0;1;2;193000;269970.0;275158.28;2937.6497;163;4;18.25;1;4.0;1864;10;193000
87.0;Centro;1;Embajadores;12;3;Piso;0;0.0;0.0;3;1;0;0;0;1;mas_50;0;económico;0;0;1;0;0;0;1;28012;Desconocido;1;0;0;0;0;Desconocido;Independiente;0;3;40º24'36.91'' N ;3º42'16.42'' W  ;46204;750;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;1;3;295000;474367.94;870158.06;5945.187;210;4;21.75;1;6.0;3240;205;295000
135.0;Centro;1;Palacio;11;0;Piso;0;0.0;2.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'37.23'' N ;3º42'42.73'' W  ;23501;258;33;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;1;4;820000;862438.4;870158.06;6941.3525;210;5;27.0;1;3.0;3240;211;820000
239.0;Fuencarral-El Pardo;8;El Pardo;81;0;Piso;2;0.0;1.0;5;4;0;1;0;1;Desconocido;2;Desconocido;0;0;2;1;0;0;1;28048;Madera;0;0;1;0;1;Normal;Desconocido;0;0;40º31'25.35'' N ;3º46'45.77'' W  ;3421;24;0;3;14;2;5;448;28798;2.67;23923;53;48;197;95;148;121;99;2811379;2;0;6;1;5;1090000;927526.2;436910.75;3840.5605;469;9;26.555555;5;4.0;660;187;1090000
52.0;Centro;1;Palacio;11;0;Piso;0;0.0;2.0;2;1;0;1;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28013;Desconocido;0;0;1;0;0;Normal;Independiente;0;0;40º24'37.23'' N ;3º42'42.73'' W  ;23501;258;33;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;400000;862438.4;870158.06;6941.3525;210;3;17.333334;1;3.0;3240;211;400000
