m2_constr,distrito,cod_distrito,barrio,cod_barrio,letra_ce,tipologia,estado,amueblado,planta,dormitorios,banos,balcon,terraza,trastero,ascensor,antiguedad,jardin,tipo_inmueble,cancha_tenis,chimenea,exterior,piscina,porton_electrico,videoportero,armarios,codigo_postal,tipo_suelo,certificado_energetico,puerta_seguridad,orientacion_este,orientacion_oeste,orientacion_sur,aire,grupo_cocina,orientacion_norte,letra_emisiones,latitud,longitud,num_personas,total_transacciones,viv_nuevas_transacciones,lineas_metro,salidas_metro,estaciones_metroligero,estaciones_cercanias,estacion_bus_urbano,renta_bruta_media_por_persona,tamano_medio_del_hogar,tam_hogar,hog_con_10,hog_con_15_y_más,comercio_serviciosminoristas,hosteleria_restauracion,salud_bienestar_educacion,servicios_profesionales,cultura_entretenimiento,m2_areasverdes,ins_comunitaria,energia,eficiencia_carpinteria,num_garajes,cod_barrio_group,target,precio_mean_b,pm_tlogia_distrito,euro_m2_barrio,total_estaciones,habitaciones,m2_por_hab,atrib_lujo,atrib,serv_barrio,cod_barrio_frecuency,precio,coordenadas,lat_decimal,lon_decimal
143.0,Salamanca,4,Goya,42,0,Atico,0,0.0,6.0,2,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28001,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'21.71'' N ,3º40'48.03'' W  ,29477,478,4,6,18,0,1,186,38751,2.28,24741,11,30,2470,1051,928,2315,917,333527,0,0,0,1,5,1250000,1480537.9,1924147.5,10122.084,205,4,35.75,1,3.0,7681,346,1250000,"40.42269722222222,-3.6800083333333333",40.42269722222222,-3.6800083333333333
150.0,Chamberí,7,Trafalgar,73,0,Piso,2,0.0,5.0,3,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28010,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'52.48'' N ,3º42'10.85'' W  ,24621,376,0,9,22,0,0,151,36934,2.21,25648,21,39,1930,1116,1039,1910,905,19677,0,0,0,1,5,1250000,1113238.8,1373545.5,8274.553,173,5,30.0,1,3.0,6900,93,1250000,"40.431244444444445,-3.703013888888889",40.431244444444445,-3.703013888888889
124.0,Puente De Vallecas,13,Portazgo,135,3,Piso,2,0.0,4.0,3,2,0,0,0,1,30_50,0,Desconocido,0,0,1,0,0,0,1,28018,Desconocido,1,0,0,0,0,Desconocido,Desconocido,0,3,40º23'25.94'' N ,3º38'58.4'' W   ,28741,308,56,1,7,0,3,311,13354,2.66,26108,123,50,423,137,90,189,173,1558120,0,0,0,1,1,250000,183641.16,174892.8,2438.678,321,5,24.8,1,6.0,1012,56,250000,"40.39053888888889,-3.6495555555555557",40.39053888888889,-3.6495555555555557
127.0,Centro,1,Palacio,11,0,Piso,0,1.0,2.0,2,2,0,0,0,1,mas_50,0,Desconocido,0,0,1,0,0,0,1,28013,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º24'37.23'' N ,3º42'42.73'' W  ,23501,258,33,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,0,0,0,4,700000,862438.4,870158.06,6941.3525,210,4,31.75,0,4.0,3240,211,700000,"40.41034166666667,-3.7118694444444444",40.41034166666667,-3.7118694444444444
214.0,Villaverde,17,Villaverde Alto,171,0,Casa,4,0.0,0.0,4,2,0,0,1,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28021,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º19'22.54'' N ,3º41'33.28'' W  ,47817,11,0,1,4,0,5,193,13604,2.82,14009,78,28,139,64,45,79,54,711123,0,0,0,1,1,460000,218009.73,312250.0,2441.1577,202,6,35.666668,2,3.0,381,85,460000,"40.32292777777778,-3.692577777777778",40.32292777777778,-3.692577777777778
141.0,Centro,1,Universidad,15,4,Piso,0,0.0,4.0,2,2,0,1,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28015,Desconocido,1,0,0,0,0,Desconocido,Amueblada,0,4,40º25'32.9'' N  ,3º42'30.72'' W  ,32783,613,30,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,2,0,0,4,898000,724757.8,870158.06,6883.6953,210,4,35.25,1,8.0,3240,325,898000,"40.425805555555556,-3.7085333333333335",40.425805555555556,-3.7085333333333335
796.0,Chamartín,5,El Viso,51,0,Chalet,0,0.0,0.0,6,7,0,0,0,1,mas_50,0,Desconocido,0,0,1,0,0,0,1,28002,Desconocido,0,0,1,0,0,Normal,Independiente,0,0,40º26'53.58'' N ,3º41'6.87'' W   ,17274,184,6,7,20,0,1,275,42678,2.45,20435,32,45,693,274,228,505,220,214209,0,2,0,1,5,5500000,2036813.5,2726054.0,8183.374,296,13,61.23077,1,3.0,1920,116,5500000,"40.44821666666666,-3.6852416666666667",40.44821666666666,-3.6852416666666667
130.0,Retiro,3,Adelfas,32,0,Atico,0,0.0,5.0,3,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28007,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º24'7.29'' N  ,3º40'23.31'' W  ,18832,117,1,4,8,0,0,138,33396,2.39,16179,10,13,408,160,169,349,164,1427833,0,0,0,1,3,750000,552521.75,1833523.8,5544.5024,146,5,26.0,1,3.0,1250,23,750000,"40.402025,-3.6731416666666665",40.402025,-3.6731416666666665
76.0,Salamanca,4,Recoletos,41,0,Piso,0,1.0,2.0,2,2,0,0,0,1,mas_50,0,lujo,0,0,1,0,0,0,1,28001,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'19.05'' N ,3º40'53.05'' W  ,15444,243,8,6,18,0,1,186,38751,2.28,24741,11,30,2470,1051,928,2315,917,333527,0,0,0,1,5,829000,2479820.2,1769842.4,11784.251,205,4,19.0,1,4.0,7681,262,829000,"40.42195833333333,-3.6814027777777776",40.42195833333333,-3.6814027777777776
39.0,Arganzuela,2,Delicias,25,1,Piso,1,0.0,3.0,2,1,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28045,Otros,0,0,0,0,0,Desconocido,Desconocido,0,1,40º23'43.44'' N ,3º41'20.3'' W   ,28575,246,18,4,9,0,4,186,27431,2.31,23071,17,13,1151,633,494,969,454,547811,0,2,0,1,3,160000,387298.1,404461.3,4807.038,199,3,13.0,1,4.0,3701,58,160000,"40.3954,-3.6889722222222225",40.3954,-3.6889722222222225
133.0,Centro,1,Justicia,14,0,Piso,4,0.0,1.0,3,3,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28004,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'8.76'' N  ,3º41'48.96'' W  ,18219,323,0,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,0,0,0,5,1150000,1360566.5,870158.06,9035.9375,210,6,22.166666,0,3.0,3240,206,1150000,"40.4191,-3.6969333333333334",40.4191,-3.6969333333333334
80.0,Latina,10,Lucero,103,0,Piso,0,0.0,2.0,3,1,0,0,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28047,Madera,0,0,0,0,1,Desconocido,Desconocido,0,0,40º24'11.4'' N  ,3º45'23.25'' W  ,36749,396,63,3,10,2,5,307,17267,2.49,30102,82,31,1223,499,366,628,523,1047962,2,0,0,1,1,199000,195350.0,244581.98,2635.8171,324,4,20.0,1,4.0,3239,44,199000,"40.403166666666664,-3.7564583333333332",40.403166666666664,-3.7564583333333332
35.0,Centro,1,Embajadores,12,0,Piso,0,0.0,2.0,1,1,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28012,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º24'36.91'' N ,3º42'16.42'' W  ,46204,750,9,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,0,0,0,3,190000,474367.94,870158.06,5945.187,210,2,17.5,0,3.0,3240,205,190000,"40.41025277777778,-3.7045611111111114",40.41025277777778,-3.7045611111111114
100.0,Tetuán,6,Berruguete,66,0,Piso,2,0.0,1.0,3,1,0,1,1,1,30_50,0,Desconocido,0,0,2,0,0,0,4,28039,Gres,0,0,0,0,0,Normal,Desconocido,0,0,40º27'35.2'' N  ,3º41'58.58'' W  ,25694,269,34,6,12,0,0,166,22890,2.34,25992,70,28,1337,589,375,1502,538,301635,0,2,0,1,2,335600,271995.72,576069.7,4099.597,178,4,25.0,3,7.0,4341,49,335600,"40.45977777777778,-3.699605555555556",40.45977777777778,-3.699605555555556
140.0,Salamanca,4,Goya,42,0,Piso,0,0.0,3.0,3,3,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28001,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'21.71'' N ,3º40'48.03'' W  ,29477,478,4,6,18,0,1,186,38751,2.28,24741,11,30,2470,1051,928,2315,917,333527,0,0,0,1,5,1384000,1480537.9,1769842.4,10122.084,205,6,23.333334,1,3.0,7681,346,1384000,"40.42269722222222,-3.6800083333333333",40.42269722222222,-3.6800083333333333
119.0,Retiro,3,Ibiza,34,0,Piso,4,1.0,3.0,2,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28009,Desconocido,0,0,0,0,0,Normal,Equipada,1,0,40º25'1.9'' N   ,3º40'41.21'' W  ,21492,257,0,4,8,0,0,138,33396,2.39,16179,10,13,408,160,169,349,164,1427833,0,0,0,1,5,1149000,1324904.2,1325221.9,10157.479,146,4,29.75,1,4.0,1250,143,1149000,"40.41719444444444,-3.678113888888889",40.41719444444444,-3.678113888888889
162.0,Salamanca,4,Goya,42,0,Piso,2,0.0,6.0,2,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28001,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'21.71'' N ,3º40'48.03'' W  ,29477,478,4,6,18,0,1,186,38751,2.28,24741,11,30,2470,1051,928,2315,917,333527,0,0,0,1,5,1769000,1480537.9,1769842.4,10122.084,205,4,40.5,1,3.0,7681,346,1769000,"40.42269722222222,-3.6800083333333333",40.42269722222222,-3.6800083333333333
71.0,Usera,12,Moscardó,125,1,Piso,0,0.0,3.0,3,1,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28026,Desconocido,1,0,0,0,0,Desconocido,Desconocido,0,1,40º23'17.28'' N ,3º42'2.06'' W   ,26579,176,17,2,4,0,2,186,13481,2.8,13483,77,26,1495,565,267,689,491,515144,0,0,0,1,1,350000,212515.39,224598.0,2985.089,192,4,17.75,1,4.0,3507,26,350000,"40.388133333333336,-3.7005722222222226",40.388133333333336,-3.7005722222222226
132.0,Chamberí,7,Almagro,74,0,Piso,2,0.0,2.0,2,3,1,0,0,0,mas_50,0,lujo,0,0,1,0,0,0,1,28010,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º25'36.89'' N ,3º41'31.6'' W   ,19418,310,34,9,22,0,0,151,36934,2.21,25648,21,39,1930,1116,1039,1910,905,19677,1,0,0,1,5,920000,2368570.0,1373545.5,10201.327,173,5,26.4,1,3.0,6900,126,920000,"40.42691388888888,-3.6921111111111116",40.42691388888888,-3.6921111111111116
78.0,Centro,1,Universidad,15,0,Piso,0,0.0,2.0,3,1,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28015,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'32.9'' N  ,3º42'30.72'' W  ,32783,613,30,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,0,0,0,4,370000,724757.8,870158.06,6883.6953,210,4,19.5,0,3.0,3240,325,370000,"40.425805555555556,-3.7085333333333335",40.425805555555556,-3.7085333333333335
120.0,Carabanchel,11,Vista Alegre,114,0,Chalet,3,0.0,0.0,3,2,0,0,0,1,mas_50,0,Desconocido,0,0,1,0,0,0,1,28025,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'20.68'' N ,3º44'6.97'' W   ,47727,505,36,3,16,0,0,289,15239,2.66,28825,139,57,1332,483,298,854,455,1560282,1,2,0,1,1,220000,233879.31,422333.34,2859.4014,305,5,24.0,1,3.0,3422,87,220000,"40.38907777777778,-3.7352694444444445",40.38907777777778,-3.7352694444444445
65.0,Latina,10,Puerta Del Ángel,102,0,Piso,0,0.0,4.0,3,1,0,0,0,1,mas_50,0,Desconocido,0,0,2,0,0,0,1,28011,Gres,0,0,0,0,0,Desconocido,Desconocido,0,0,40º24'43.74'' N ,3º44'8.38'' W   ,43292,532,117,3,10,2,5,307,17267,2.49,30102,82,31,1223,499,366,628,523,1047962,1,3,0,1,2,160000,323134.53,244581.98,3741.5579,324,4,16.25,1,4.0,3239,55,160000,"40.41215,-3.7356611111111113",40.41215,-3.7356611111111113
118.0,Usera,12,Zofío,126,0,Piso,0,0.0,1.0,4,2,0,0,1,1,Desconocido,1,Desconocido,0,0,1,0,0,0,1,28026,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º22'35.51'' N ,3º43'9.14'' W   ,14382,133,9,2,4,0,2,186,13481,2.8,13483,77,26,1495,565,267,689,491,515144,0,0,0,0,1,230000,189491.58,224598.0,2672.0317,192,6,19.666666,2,3.0,3507,12,230000,"40.376530555555554,-3.719205555555556",40.376530555555554,-3.719205555555556
104.0,Carabanchel,11,Vista Alegre,114,0,Piso,0,0.0,2.0,3,2,0,0,1,1,Desconocido,1,Desconocido,0,0,1,0,0,0,1,28025,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'20.68'' N ,3º44'6.97'' W   ,47727,505,36,3,16,0,0,289,15239,2.66,28825,139,57,1332,483,298,854,455,1560282,0,0,0,0,1,419900,233879.31,220952.16,2859.4014,305,5,20.8,2,3.0,3422,87,419900,"40.38907777777778,-3.7352694444444445",40.38907777777778,-3.7352694444444445
30.0,Puente De Vallecas,13,Portazgo,135,0,Piso,0,0.0,2.0,2,1,0,0,0,1,mas_50,0,Desconocido,0,0,1,0,0,0,1,28018,Gres,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'25.94'' N ,3º38'58.4'' W   ,28741,308,56,1,7,0,3,311,13354,2.66,26108,123,50,423,137,90,189,173,1558120,0,3,0,1,1,120000,183641.16,174892.8,2438.678,321,3,10.0,1,3.0,1012,56,120000,"40.39053888888889,-3.6495555555555557",40.39053888888889,-3.6495555555555557
46.0,San Blas-Canillejas,20,Rejas,206,0,Piso,2,0.0,2.0,1,1,1,0,0,1,10_30,0,Desconocido,0,0,1,0,0,0,1,28037,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º26'59.83'' N ,3º35'46.49'' W  ,17399,694,506,3,10,0,0,275,19768,2.63,16710,44,26,1504,739,381,828,552,995950,0,0,0,1,3,245000,387707.03,245671.58,3096.2378,285,2,23.0,1,4.0,4004,32,245000,"40.449952777777774,-3.5962472222222224",40.449952777777774,-3.5962472222222224
239.0,San Blas-Canillejas,20,Canillejas,207,0,Atico,0,0.0,9.0,6,4,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28037,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º26'58.48'' N ,3º37'10.41'' W  ,29067,320,3,3,10,0,0,275,19768,2.63,16710,44,26,1504,739,381,828,552,995950,0,0,0,1,2,1295000,330917.34,655200.0,3322.9795,285,10,23.9,1,3.0,4004,64,1295000,"40.449577777777776,-3.6195583333333334",40.449577777777776,-3.6195583333333334
86.0,Villaverde,17,Villaverde Alto,171,3,Piso,4,0.0,2.0,2,2,0,0,0,1,10_30,0,Desconocido,0,0,1,0,0,0,1,28021,Desconocido,1,0,0,0,0,Desconocido,Desconocido,0,3,40º19'22.54'' N ,3º41'33.28'' W  ,47817,11,0,1,4,0,5,193,13604,2.82,14009,78,28,139,64,45,79,54,711123,0,0,0,1,1,255000,218009.73,167689.4,2441.1577,202,4,21.5,1,6.0,381,85,255000,"40.32292777777778,-3.692577777777778",40.32292777777778,-3.692577777777778
135.0,Villaverde,17,Los Rosales,175,0,Piso,0,0.0,2.0,3,2,0,0,0,1,Desconocido,1,Desconocido,0,0,1,0,0,0,1,28021,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º21'42.15'' N ,3º41'45.9'' W   ,34827,9,1,1,4,0,5,193,13604,2.82,14009,78,28,139,64,45,79,54,711123,0,0,0,1,1,121000,175014.0,167689.4,2112.9834,202,5,27.0,2,3.0,381,50,121000,"40.36170833333333,-3.6960833333333336",40.36170833333333,-3.6960833333333336
46.0,Puente De Vallecas,13,San Diego,132,0,Estudio,5,0.0,4.0,0,1,0,1,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28053,Madera,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'17.72'' N ,3º39'57.58'' W  ,45104,699,242,1,7,0,3,311,13354,2.66,26108,123,50,423,137,90,189,173,1558120,0,0,0,1,1,202000,171103.42,127216.664,2466.8286,321,1,46.0,2,3.0,1012,94,202000,"40.38825555555555,-3.6659944444444443",40.38825555555555,-3.6659944444444443
95.0,Villaverde,17,Los Ángeles,174,0,Piso,1,0.0,2.0,3,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28021,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º21'39.54'' N ,3º41'27.56'' W  ,37808,336,68,1,4,0,5,193,13604,2.82,14009,78,28,139,64,45,79,54,711123,0,0,0,1,1,240000,166681.86,167689.4,1943.426,202,5,19.0,1,3.0,381,41,240000,"40.36098333333334,-3.690988888888889",40.36098333333334,-3.690988888888889
44.0,Centro,1,Embajadores,12,0,Piso,4,1.0,2.0,1,1,0,1,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28012,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º24'36.91'' N ,3º42'16.42'' W  ,46204,750,9,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,0,0,0,3,265000,474367.94,870158.06,5945.187,210,2,22.0,1,5.0,3240,205,265000,"40.41025277777778,-3.7045611111111114",40.41025277777778,-3.7045611111111114
88.0,Centro,1,Sol,16,0,Piso,0,1.0,2.0,2,2,0,0,0,1,mas_50,0,Desconocido,0,0,2,0,0,0,1,28013,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'8.03'' N  ,3º42'14.2'' W   ,8164,123,9,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,0,0,0,4,859000,908933.5,870158.06,6600.1484,210,4,22.0,0,5.0,3240,266,859000,"40.41889722222222,-3.7039444444444447",40.41889722222222,-3.7039444444444447
93.0,Centro,1,Universidad,15,0,Piso,0,0.0,2.0,2,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28015,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º25'32.9'' N  ,3º42'30.72'' W  ,32783,613,30,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,0,0,0,4,759000,724757.8,870158.06,6883.6953,210,4,23.25,0,3.0,3240,325,759000,"40.425805555555556,-3.7085333333333335",40.425805555555556,-3.7085333333333335
112.0,Centro,1,Cortes,13,3,Piso,4,1.0,2.0,3,3,1,0,0,1,mas_50,0,Desconocido,0,0,2,0,0,0,1,28014,Madera,1,0,1,0,0,Normal,Amueblada,0,3,40º24'44.8'' N  ,3º41'37.98'' W  ,10816,180,0,7,27,0,2,181,27030,1.99,34155,43,48,1208,1054,137,582,259,223280,0,2,6,0,5,989000,984085.9,870158.06,6772.3047,210,6,18.666666,0,9.0,3240,145,989000,"40.412444444444446,-3.6938833333333334",40.412444444444446,-3.6938833333333334
154.0,Salamanca,4,Goya,42,0,Piso,4,1.0,4.0,3,3,1,0,1,1,mas_50,0,Desconocido,0,0,2,0,0,0,4,28001,Madera,0,0,0,0,1,Normal,Desconocido,0,0,40º25'21.71'' N ,3º40'48.03'' W  ,29477,478,4,6,18,0,1,186,38751,2.28,24741,11,30,2470,1051,928,2315,917,333527,0,2,0,1,5,1800000,1480537.9,1769842.4,10122.084,205,6,25.666666,2,9.0,7681,346,1800000,"40.42269722222222,-3.6800083333333333",40.42269722222222,-3.6800083333333333
71.0,Carabanchel,11,Vista Alegre,114,0,Piso,2,0.0,4.0,2,1,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28025,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'20.68'' N ,3º44'6.97'' W   ,47727,505,36,3,16,0,0,289,15239,2.66,28825,139,57,1332,483,298,854,455,1560282,1,0,0,1,1,240000,233879.31,220952.16,2859.4014,305,3,23.666666,1,3.0,3422,87,240000,"40.38907777777778,-3.7352694444444445",40.38907777777778,-3.7352694444444445
60.0,Carabanchel,11,Puerta Bonita,115,0,Piso,3,0.0,3.0,2,1,0,0,0,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28025,Gres,0,0,0,0,0,Normal,Desconocido,0,0,40º22'31.78'' N ,3º44'6.01'' W   ,36798,400,44,3,16,0,0,289,15239,2.66,28825,139,57,1332,483,298,854,455,1560282,1,0,0,1,1,146050,203148.19,220952.16,2684.6013,305,3,20.0,1,4.0,3422,67,146050,"40.37549444444444,-3.735002777777778",40.37549444444444,-3.735002777777778
