m2_constr;letra_ce;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;jardin;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;habitantes;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;precio_mean_b;total_estaciones;habitaciones;atrib_lujo;atrib;serv_barrio;url;cod_barrio;cod_distrito;codigo_postal;target
0.4939759;0;0.5;0.0;1.5;-1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-0.9004213;-0.7759336;-0.060606062;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;0;0;-1;0.0;0.073753946;0.0;0.0;0;0.0;0.0;https://www.pisos.com/comprar/atico-sol_barrio28012-48431058024_100500/;16;1;28013;2.3189251
0.26506025;0;-0.5;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.180883;1.8257262;-0.060606062;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;0;0;-1;-0.33333334;-0.31356278;0.0;0.33333334;-1;-0.5;0.0;https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-45866633659_101800/;12;1;28012;-0.11098131
0.90361446;3;0.5;0.1;0.0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0.13908191;0.29045644;1.3030303;0.75;0.54545456;0;-0.5;-0.32407406;0.5769544;-0.12772554;-0.51428574;0.107745305;-0.5365854;0.0;0.90024936;0.67824966;2.162465;1.2858576;1.3422619;-0.34982345;0;0;0;0;0.33333334;0.28045133;-0.3490566;0.6666667;2;1.55;1.4775939;https://www.indomio.es/anuncios/96846409/;75;7;28003;0.9053738
-0.6987952;0;1.0;0.0;0.5;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.17119877;-0.21991701;-0.33333334;-0.5;-0.72727275;0;-0.5;-0.44444445;0.37084934;-0.47328973;0.0;-1.0171062;-0.80487806;-1.3;-0.99750626;-0.55212355;-0.27450982;-0.27983952;-0.8630952;0.7051014;0;3;0;0;0.33333334;0.5647334;-0.6037736;-0.33333334;0;-0.5;-0.8033912;https://www.redpiso.es/inmueble/piso-en-venta-en-calle-alcalde-sainz-de-baranda-ibiza-retiro-madrid-madrid-RP962023120748;34;3;28009;-0.14602804
3.2771084;0;0.5;0.0;0.5;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-0.97368276;-0.9460581;-0.33333334;-0.5;-0.72727275;0;-0.5;-0.44444445;0.37084934;-0.47328973;0.0;-1.0171062;-0.80487806;-1.3;-0.99750626;-0.55212355;-0.27450982;-0.27983952;-0.8630952;0.7051014;0;0;0;0;0.33333334;2.2025118;-0.6037736;1.3333334;0;0.5;-0.8033912;https://www.pisos.com/comprar/piso-jeronimos28014-31735727373_100500/;35;3;28014;4.421729
-0.26506025;0;-0.5;0.0;0.0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.42140394;-0.5020747;-0.24242425;0.0;0.18181819;0;0.0;0.0;0.6828032;0.0;-0.31428573;0.0;-0.7804878;-0.45;1.5735661;0.5945946;1.8515406;1.6920762;1.3779762;-0.114701584;0;0;0;0;0.33333334;1.6133418;-0.047169812;0.0;0;-0.5;1.7928946;https://www.indomio.es/anuncios/96654615/;46;4;28006;0.4135514
-0.7710843;1;1.0;0.0;0.0;-2;-1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1.342124;0.8672199;3.090909;-0.75;0.0;0;-0.5;0.9537037;-0.68688107;1.9868664;0.7714286;0.48515087;2.3414633;0.9;0.15461347;-0.13642214;0.086834736;0.22668004;0.0029761905;0.8043258;0;0;0;-1;-1.0;-0.5486016;0.8962264;-0.6666667;-1;0.5;0.07347598;https://www.redpiso.es/inmueble/piso-en-venta-en-buenavista-carabanchel-madrid-madrid-RP442024126442;116;11;28025;-0.40303737
0.25301206;0;-0.5;0.0;0.0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.7553209;-0.5394191;-0.33333334;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;0;0;-1;0.33333334;0.20286635;0.0;0.33333334;2;-1.0;0.0;https://www.indomio.es/anuncios/96888511/;13;1;28014;-0.11214953
-0.4939759;3;0.5;0.0;0.0;-1;-1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;3;0.24325655;0.041493777;-0.24242425;-0.75;-0.54545456;0;-0.5;0.8240741;-0.42304555;0.26432613;0.6857143;-0.95402706;0.024390243;-0.65;0.3690773;0.19305019;0.31932774;0.2006018;0.29166666;0.38155508;0;3;6;0;-0.6666667;-0.43237132;0.7075472;-0.33333334;1;1.5;0.30843762;https://www.pisos.com/comprar/piso-san_blas_canillejas28022-48378577556_998861/;207;20;28037;-0.36448598
-0.36144578;0;0.5;0.0;0.0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22541992;-0.008298756;1.3636364;-1.25;-0.8181818;0;1.0;1.1574074;-0.7966911;1.6336366;0.7714286;0.16239011;1.9512196;0.55;-0.978803;-0.5817246;-0.49579832;-0.44032097;-0.83630955;0.80270636;0;0;0;0;-1.0;-0.5797608;1.0471698;0.0;0;-0.5;-0.89947516;https://www.pisos.com/comprar/piso-puente_de_vallecas_portazgo28038-45023033665_526710/;135;13;28018;-0.34462616
