m2_constr;distrito;cod_distrito;barrio;cod_barrio;letra_ce;tipologia;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;antiguedad;jardin;tipo_inmueble;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;codigo_postal;tipo_suelo;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;aire;grupo_cocina;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;target;precio_mean_b;pm_tlogia_distrito;euro_m2_barrio;total_estaciones;habitaciones;m2_por_hab;atrib_lujo;atrib;serv_barrio;cod_barrio_frecuency
280.0;Centro;1;Justicia;14;0;Piso;4;0.0;6.0;4;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28004;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;18219;323;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;5;0;1359048.5;858494.75;9009.478;210;6;46.666668;0;3.0;3240;202
52.0;Chamberí;7;Arapiles;72;0;Piso;0;0.0;3.0;1;1;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28015;Desconocido;0;0;0;1;0;Desconocido;Desconocido;0;0;24190;312;25;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;4;0;859667.06;1386846.4;6428.3413;173;2;26.0;1;3.0;6900;52
110.0;Carabanchel;11;Abrantes;117;3;Piso;2;0.0;4.0;3;2;0;0;1;1;Desconocido;1;Desconocido;0;0;1;1;0;0;1;28041;Madera;1;0;0;0;0;Desconocido;Desconocido;0;3;31691;317;20;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;2;0;0;1;1;0;216061.72;221407.95;2624.4146;305;5;22.0;4;6.0;3422;58
14.0;Centro;1;Justicia;14;0;Piso;0;0.0;4.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28004;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;18219;323;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;5;0;1359048.5;858494.75;9009.478;210;2;7.0;0;3.0;3240;202
139.0;Centro;1;Sol;16;0;Piso;0;0.0;2.0;3;2;0;0;0;1;Desconocido;1;Desconocido;0;0;1;0;0;1;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;8164;123;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;1;4;0;884228.9;858494.75;6534.624;210;5;27.8;2;4.0;3240;267
75.0;Carabanchel;11;Opañel;112;6;Piso;0;0.0;1.0;1;1;0;0;0;1;30_50;0;económico;0;0;1;0;0;0;1;28019;Desconocido;1;0;0;0;0;Normal;Independiente;0;6;33883;351;47;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;1;0;0;1;2;0;247857.42;221407.95;2746.222;305;2;37.5;1;9.0;3422;63
95.0;Salamanca;4;Castellana;46;0;Piso;2;1.0;2.0;2;2;0;0;0;0;mas_50;0;lujo;0;0;1;0;0;0;1;28006;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;16919;189;3;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;0;2342136.8;1752995.2;11417.745;205;4;23.75;1;3.0;7681;259
59.0;Carabanchel;11;Buenavista;116;0;Piso;2;0.0;1.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28025;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;49151;519;113;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;1;1;0;203859.66;221407.95;2637.3127;305;4;14.75;1;3.0;3422;57
70.0;Carabanchel;11;Abrantes;117;0;Piso;0;0.0;2.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28041;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;31691;317;20;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;0;1;0;216061.72;221407.95;2624.4146;305;4;17.5;0;3.0;3422;58
61.0;Villaverde;17;San Cristóbal;172;0;Piso;3;0.0;2.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28021;Madera;0;0;0;0;0;Normal;Desconocido;0;0;17270;316;75;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;2;0;1;1;0;113546.58;163554.62;1690.7994;202;4;15.25;1;4.0;381;45
119.0;Retiro;3;Ibiza;34;0;Piso;2;0.0;3.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28009;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;21492;257;0;4;8;0;0;138;33396;2.39;16179;10;13;408;160;169;349;164;1427833;0;0;0;1;5;0;1357476.0;1378643.6;10544.301;146;4;29.75;1;3.0;1250;154
37.0;Latina;10;Aluche;104;0;Piso;3;0.0;2.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28047;Desconocido;0;0;0;1;1;Desconocido;Desconocido;0;0;66588;519;23;3;10;2;5;307;17267;2.49;30102;82;31;1223;499;366;628;523;1047962;0;0;0;1;2;0;245965.02;247474.52;2955.2676;324;2;18.5;1;4.0;3239;109
351.0;Tetuán;6;Cuatro Caminos;62;0;Atico;0;0.0;1.0;6;2;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28020;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;34753;416;20;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;0;0;1;4;0;669966.4;658286.7;5437.006;178;8;43.875;1;3.0;4341;94
116.0;Moratalaz;1;Sol;16;0;Piso;0;0.0;2.0;3;2;0;0;1;1;Desconocido;1;Desconocido;0;0;1;0;0;1;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;8164;123;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;0;884228.9;274027.94;6534.624;210;5;23.2;2;4.0;3240;267
108.0;Centro;1;Sol;16;0;Piso;0;0.0;3.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;8164;123;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;0;884228.9;858494.75;6534.624;210;5;21.6;0;3.0;3240;267
120.0;Salamanca;4;Recoletos;41;0;Piso;0;0.0;2.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;15444;243;8;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;0;2437429.2;1752995.2;11892.907;205;4;30.0;1;3.0;7681;270
380.0;Hortaleza;16;Piovera;162;0;Piso;0;0.0;3.0;5;5;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28055;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;15041;186;94;2;9;6;1;325;29047;2.65;19312;38;32;1114;603;596;1135;486;1758173;0;0;0;1;5;0;3768187.5;478634.34;5146.7812;341;10;38.0;1;3.0;3934;16
151.0;Centro;1;Justicia;14;0;Piso;2;0.0;3.0;7;3;1;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28004;Desconocido;0;0;0;0;0;Desconocido;Desconocido;1;0;18219;323;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;5;0;1359048.5;858494.75;9009.478;210;10;15.1;0;5.0;3240;202
71.0;Latina;10;Aluche;104;0;Piso;3;0.0;2.0;2;1;0;0;0;1;30_50;0;Desconocido;0;0;2;0;0;0;1;28047;Madera;0;0;0;0;1;Desconocido;Desconocido;0;0;66588;519;23;3;10;2;5;307;17267;2.49;30102;82;31;1223;499;366;628;523;1047962;0;0;0;1;2;0;245965.02;247474.52;2955.2676;324;3;23.666666;1;4.0;3239;109
316.0;Chamberí;7;Almagro;74;0;Duplex;4;0.0;3.0;3;2;0;1;1;1;10_30;2;Desconocido;0;0;2;0;0;0;4;28010;Madera;0;0;0;0;0;Desconocido;Desconocido;0;0;19418;310;34;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;2;6;1;5;0;2372866.0;1040000.0;10163.295;173;5;63.2;5;7.0;6900;135
263.0;Chamartín;5;El Viso;51;0;Piso;4;0.0;7.0;4;3;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28002;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;17274;184;6;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;0;0;1;5;0;1946246.8;1133329.0;8189.6523;296;7;37.57143;1;3.0;1920;119
69.0;Barajas;21;Casco Histórico De Barajas;213;0;Piso;2;0.0;1.0;2;1;1;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;2;28042;Gres;0;0;0;0;0;Normal;Desconocido;0;0;7384;94;12;2;6;0;2;144;27125;2.63;4694;3;7;399;345;125;522;108;1904385;0;3;0;1;2;0;305168.75;392584.62;3540.7542;152;3;23.0;1;6.0;1499;32
197.0;Tetuán;6;Cuatro Caminos;62;0;Piso;1;0.0;1.0;6;3;0;1;1;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28020;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;34753;416;20;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;2;0;0;1;4;0;669966.4;569463.5;5437.006;178;9;21.88889;3;4.0;4341;94
692.0;Retiro;3;Jerónimos;35;0;Chalet;0;0.0;0.0;5;5;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28014;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;6825;82;0;4;8;0;0;138;33396;2.39;16179;10;13;408;160;169;349;164;1427833;0;0;0;1;5;0;2618438.2;2300000.0;12463.876;146;10;69.2;1;3.0;1250;73
314.0;Chamartín;5;Hispanoamérica;54;2;Piso;2;0.0;2.0;6;5;1;1;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28016;Desconocido;1;0;0;0;0;Normal;Desconocido;0;2;31470;311;12;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;2;0;0;1;5;0;1431882.4;1133329.0;6970.809;296;11;28.545454;2;6.0;1920;107
372.0;Salamanca;4;Castellana;46;0;Piso;4;0.0;1.0;3;3;0;1;1;1;mas_50;1;Desconocido;0;0;2;0;0;0;4;28006;Madera;0;0;0;0;1;Normal;Desconocido;0;0;16919;189;3;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;2;6;1;5;0;2342136.8;1752995.2;11417.745;205;6;62.0;4;7.0;7681;259
118.0;Centro;1;Sol;16;0;Piso;0;0.0;1.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;8164;123;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;0;884228.9;858494.75;6534.624;210;4;29.5;0;3.0;3240;267
170.0;Centro;1;Universidad;15;0;Piso;2;0.0;2.0;3;5;0;1;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28015;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;32783;613;30;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;0;732938.3;858494.75;6931.563;210;8;21.25;1;4.0;3240;326
