m2_constr,cod_barrio,estado,amueblado,planta,codigo_postal,certificado_energetico,orientacion_este,orientacion_oeste,orientacion_sur,orientacion_norte,num_personas,total_transacciones,viv_nuevas_transacciones,lineas_metro,renta_bruta_media_por_persona,habitantes,tamano_medio_del_hogar,tam_hogar,hog_con_10,hog_con_15_y_más,m2_areasverdes,ins_comunitaria,energia,eficiencia_carpinteria,cod_barrio_group,tipologia_Atico,tipologia_Casa,tipologia_Chalet,tipologia_Duplex,tipologia_Estudio,tipologia_Piso,antiguedad_Desconocido,ant_10_30,ant_30_50,ant_5_10,ant_mas_50,ant_menos_5,tipo_inmueble_Desconocido,tipo_inmueble_económico,tipo_inmueble_lujo,tipo_inmueble_medio,tipo_inmueble_señorial,clasificacion_aire_Eficiente,clasificacion_aire_Normal,clasificacion_aire_Sin Aire,tipo_suelo_Baldosa,tipo_suelo_Desconocido,tipo_suelo_Gres,tipo_suelo_Madera,tipo_suelo_Otros,tipo_suelo_Piedra,tipo_suelo_Radiante,grupo_cocina_Abierta,grupo_cocina_Amueblada,grupo_cocina_Desconocido,grupo_cocina_Equipada,grupo_cocina_Independiente,grupo_cocina_Isla,grupo_cocina_No amueblada,grupo_cocina_Reformada,grupo_cocina_Sin reforma,total_estaciones,habitaciones,atrib_lujo,atrib,serv_barrio,target
-0.26506025,-0.24096386,-0.5,0.0,0.0,-0.47311828,0,0,0,0,0,-0.42140394,-0.50840336,-0.21212122,0.0,0.6828032,0.0,-0.31428573,0.0,-0.7804878,-0.45,-0.114701584,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047169812,0.0,0,-0.5,1.7928946,0.4135514
-0.7710843,0.60240966,1.0,0.0,0.0,0.34408602,0,0,0,1,0,1.342124,0.87815124,3.121212,-0.75,-0.68688107,1.9868664,0.7714286,0.48515087,2.3414633,0.9,0.8043258,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8962264,-0.6666667,-1,0.5,0.07347598,-0.40303737
0.25301206,-0.6385542,-0.5,0.0,0.0,-0.12903225,0,0,0,0,0,-0.7553209,-0.5462185,-0.3030303,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,0,0,0.33333334,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.33333334,2,-1.0,0.0,-0.11214953
-0.4939759,1.6987952,0.5,0.0,0.0,0.86021507,1,1,0,1,0,0.24325655,0.042016808,-0.21212122,-0.75,-0.42304555,0.26432613,0.6857143,-0.95402706,0.024390243,-0.65,0.38155508,0,3,6,-0.6666667,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7075472,-0.33333334,1,1.5,0.30843762,-0.36448598
-0.36144578,0.8313253,0.5,0.0,0.0,0.043010753,0,0,0,0,0,0.22541992,-0.008403362,1.3939394,-1.25,-0.7966911,1.6336366,0.7714286,0.16239011,1.9512196,0.55,0.80270636,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471698,0.0,0,-0.5,-0.89947516,-0.34462616
1.1084337,-0.14457831,0.5,0.0,-1.0,-0.043010753,0,0,0,0,0,0.37473327,0.004201681,0.060606062,0.25,0.91156936,-0.015433361,0.17142858,-0.51152295,-0.2682927,0.3,-0.20408913,0,0,0,0.33333334,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8113208,2.0,1,0.0,-0.5329027,1.1390187
-0.8433735,-0.61445785,-0.5,1.0,0.0,-0.086021505,0,0,0,0,0,0.44657218,1.2731092,0.6060606,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,0,0,0.0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,-1,0.0,0.0,-0.18691589
-0.04819277,1.7469879,0.5,0.0,0.0,1.0752689,0,1,0,0,0,-0.2700662,-0.710084,0.15151516,-1.0,0.0055341953,-1.6533115,0.6857143,-2.3814445,-0.9756098,-1.6,1.0621114,0,2,6,-0.33333334,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,-0.5471698,0.33333334,1,1.5,-0.7028664,-0.14614487
0.6385542,-0.6626506,-0.5,0.0,0.0,-0.17204301,0,0,0,1,0,-0.061279204,-0.2184874,0.6969697,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.8294392
-0.40963855,-0.6626506,0.5,0.0,-0.5,-0.17204301,0,0,0,0,0,-0.061279204,-0.2184874,0.6969697,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.33333334,-1,-0.5,0.0,-0.099299066
-0.43373495,1.3975904,0.0,0.0,0.5,0.60215056,0,1,0,1,0,-0.040761612,-0.7184874,-0.24242425,-1.25,-0.5641384,-0.48039317,0.62857145,-1.469589,-0.3902439,-1.4,1.6442064,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43396226,-0.33333334,0,0.0,-1.308034,-0.42640188
0.8313253,0.10843374,-0.5,0.0,0.5,-0.60215056,0,0,0,0,0,0.13908191,0.29411766,1.3333334,0.75,0.5769544,-0.12772554,-0.51428574,0.107745305,-0.5365854,0.0,-0.34982345,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3490566,0.6666667,0,-0.5,1.4775939,1.2558411
-0.14457831,1.686747,0.5,0.0,-0.5,0.86021507,1,0,0,0,0,-0.39514142,1.6134454,15.030303,-0.75,-0.42304555,0.26432613,0.6857143,-0.95402706,0.024390243,-0.65,0.38155508,0,0,0,-0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7075472,0.0,3,0.5,0.30843762,-0.15186916
-0.024096385,0.73493975,1.5,0.0,-0.5,1.032258,1,0,0,0,0,-0.36893362,-1.2731092,-0.24242425,-1.0,-0.7892928,-0.05035432,1.1714286,-1.3373723,0.8292683,-0.65,0.02135751,0,0,0,-1.0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16981132,0.0,1,1.0,0.107791685,-0.30373833
0.16867469,-0.60240966,-0.5,1.0,0.0,-0.17204301,1,0,0,0,1,-0.9004213,-0.78571427,-0.030303031,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6666667,0,2.5,0.0,0.60046726
-0.56626505,0.0,-0.5,0.0,0.0,0.94623655,0,0,0,0,0,0.058707666,-0.17226891,0.72727275,0.0,-0.24117441,0.24359499,-0.14285715,0.14861012,0.6585366,-0.55,-0.1385938,0,0,0,-0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3018868,-0.6666667,0,-0.5,0.4444893,-0.2990654
0.26506025,-0.6385542,-0.5,0.0,-1.0,-0.12903225,0,0,0,0,0,-0.7553209,-0.5462185,-0.3030303,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,0,0,0.33333334,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.33333334,-1,-1.0,0.0,-0.33995327
-0.20481928,-0.30120483,0.5,0.0,1.0,-0.68817204,0,0,0,0,0,-0.5021065,-0.28151262,-0.060606062,0.0,0.6828032,0.0,-0.31428573,0.0,-0.7804878,-0.45,-0.114701584,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047169812,-0.6666667,0,-0.5,1.7928946,0.43808413
0.19277108,0.6987952,-0.5,0.0,-0.5,0.38709676,0,0,0,0,0,-0.09777316,-0.7352941,0.33333334,-1.0,-0.7892928,-0.05035432,1.1714286,-1.3373723,0.8292683,-0.65,0.02135751,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16981132,0.33333334,0,-0.5,0.107791685,-0.16933411
3.3975904,-0.18072289,0.5,1.0,-0.5,-0.6451613,0,0,0,0,0,-0.40198064,-0.5294118,-0.121212125,0.25,0.91156936,-0.015433361,0.17142858,-0.51152295,-0.2682927,0.3,-0.20408913,0,0,0,0.33333334,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8113208,2.3333333,1,0.0,-0.5329027,4.0595794
0.060240965,-0.26506025,-0.5,0.0,0.0,0.47311828,1,0,0,0,0,0.94889754,1.0294118,1.8484849,0.0,0.6828032,0.0,-0.31428573,0.0,-0.7804878,-0.45,-0.114701584,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047169812,-0.6666667,0,2.0,1.7928946,0.07009346
-0.072289154,-0.38554215,1.5,0.1,-1.0,-0.34408602,0,0,0,0,0,-0.17119877,-0.22268908,-0.3030303,-0.5,0.37084934,-0.47328973,0.0,-1.0171062,-0.80487806,-1.3,0.7051014,0,0,0,0.33333334,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6037736,0.0,0,0.05,-0.8033912,0.25116822
-0.18072289,-0.6385542,-0.5,0.0,0.0,-0.12903225,0,0,0,0,0,-0.7553209,-0.5462185,-0.3030303,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6666667,0,0.0,0.0,0.36098132
0.25301206,-0.30120483,-0.5,0.0,-0.5,-0.68817204,0,0,0,0,0,-0.5021065,-0.28151262,-0.060606062,0.0,0.6828032,0.0,-0.31428573,0.0,-0.7804878,-0.45,-0.114701584,0,0,0,0.33333334,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047169812,0.0,0,-0.5,1.7928946,0.30957943
0.10843374,0.72289157,1.0,0.0,1.0,0.38709676,0,0,0,0,0,-0.5602123,-0.74369746,-0.030303031,-1.0,-0.7892928,-0.05035432,1.1714286,-1.3373723,0.8292683,-0.65,0.02135751,0,2,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16981132,0.33333334,0,-0.5,0.107791685,-0.20444041
