m2_constr;distrito;cod_distrito;barrio;cod_barrio;letra_ce;tipologia;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;antiguedad;jardin;tipo_inmueble;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;codigo_postal;tipo_suelo;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;aire;grupo_cocina;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;target
110.0;Centro;1;Palacio;11;0;Piso;0;0.0;0.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;23501;258;33;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;380000
82.0;Chamartín;5;Castilla;56;0;Piso;0;0.0;2.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28046;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;17046;149;4;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;0;0;0;4;375000
85.0;Usera;12;Almendrales;124;3;Piso;0;0.0;0.5;3;1;0;1;0;1;Desconocido;0;económico;0;0;1;0;0;0;1;28026;Desconocido;1;0;0;0;0;Normal;Desconocido;0;3;22834;135;21;2;4;0;2;186;13481;2.8;13483;77;26;1495;565;267;689;491;515144;0;0;0;1;1;205000
63.0;Arganzuela;2;Imperial;21;4;Piso;1;0.0;7.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28005;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;4;22385;153;18;4;9;0;4;186;27431;2.31;23071;17;13;1151;633;494;969;454;547811;0;0;0;1;3;375000
132.0;Tetuán;6;Almenara;64;0;Piso;2;0.0;1.0;4;2;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28029;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;23057;303;56;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;0;0;1;3;495000
70.0;Puente De Vallecas;13;San Diego;132;3;Piso;0;0.0;3.0;3;1;1;1;0;1;30_50;0;Desconocido;0;0;1;0;0;0;1;28053;Desconocido;1;0;1;0;1;Desconocido;Desconocido;0;3;45104;699;242;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;0;0;1;1;183000
50.0;Tetuán;6;Castillejos;63;0;Piso;5;0.0;2.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28020;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;20570;289;5;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;0;0;1;4;340000
60.0;Moratalaz;14;Marroquina;143;0;Piso;4;0.0;0.0;3;1;0;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28030;Gres;0;0;0;0;0;Desconocido;Equipada;0;0;26120;183;8;9;4;0;0;159;20091;2.46;11265;19;10;752;245;237;309;321;486635;0;2;0;1;2;159900
100.0;Chamberí;7;Ríos Rosas;75;0;Atico;0;0.0;6.0;2;2;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28003;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;27163;380;54;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;5;1150000
58.0;Centro;1;Justicia;14;0;Piso;3;0.0;2.0;2;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28004;Desconocido;0;0;0;1;0;Normal;Desconocido;0;0;18219;323;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;1;3;0;0;5;395000
