hog_con_10;total_transacciones;habitaciones;cod_barrio;renta_bruta_media_por_persona;codigo_postal;cod_distrito;viv_nuevas_transacciones;tamano_medio_del_hogar;lineas_metro;m2_areasverdes;total_estaciones;estado;energia;atrib;planta;ins_comunitaria;num_personas;tam_hogar;atrib_lujo;habitantes;serv_barrio;m2_por_hab;m2_constr;pm_tlogia_distrito;hog_con_15_y_más;amueblado;eficiencia_carpinteria;precio_mean_b;cod_barrio_frecuency;url;certificado_energetico;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;tipologia_Atico;tipologia_Casa;tipologia_Chalet;tipologia_Duplex;tipologia_Estudio;tipologia_Piso;antiguedad_10_30;antiguedad_30_50;antiguedad_5_10;antiguedad_Desconocido;antiguedad_mas_50;antiguedad_menos_5;tipo_inmueble_Desconocido;tipo_inmueble_económico;tipo_inmueble_lujo;tipo_inmueble_medio;tipo_inmueble_señorial;aire_Desconocido;aire_Eficiente;aire_Normal;aire_Sin_Aire;tipo_suelo_Baldosa;tipo_suelo_Desconocido;tipo_suelo_Gres;tipo_suelo_Madera;tipo_suelo_Otros;tipo_suelo_Piedra;tipo_suelo_Radiante;grupo_cocina_Abierta;grupo_cocina_Amueblada;grupo_cocina_Desconocido;grupo_cocina_Equipada;grupo_cocina_Independiente;grupo_cocina_Isla;grupo_cocina_No_amueblada;grupo_cocina_Reformada;grupo_cocina_Sin_reforma;target
1.9512196;1.6141078;0.33333334;0.79518074;-0.7966911;1.5;0.875;6.9848485;0.6;-1.25;0.8027067;1.0471698;0.5;0;-0.5;0.0;0;1.1251304;0.16239011;0;1.6336366;-0.89947516;-1.1734694;-0.5914634;-0.6354348;0.55;0.0;0;-0.5939273;0.028169014;https://www.pisos.com/comprar/piso-san_diego28018-45043398453_100200/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.39662865
0.0;1.8257262;-0.6666667;-0.6506024;0.0;-0.20833333;-0.625;-0.07575758;-1.3142858;0.25;-0.19729331;0.0;-0.5;0;-0.5;0.0;0;1.1855534;1.1183178;-1;-0.10246321;0.0;-0.28061223;-0.7134146;0.0;0.45;0.0;0;-0.29233158;0.8028169;https://www.indomio.es/anuncios/96875875/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.25664207
-0.12195122;0.045643155;-1.0;1.1686747;0.11749971;1.0833334;1.25;-0.045454547;0.5714286;-1.0;0.9525771;1.235849;0.5;0;2.0;-1.3333334;0;0.8330129;-0.64492756;0;0.8975368;0.28017762;2.4872448;-0.5792683;-0.5678258;-0.35;1.0;0;-0.055725973;-0.2112676;https://www.pisos.com/comprar/estudio-hortaleza_canillas28043-41719599289_100500/;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-0.33713436
-0.63414633;-0.26556018;0.33333334;-0.4939759;0.023360131;1.1666666;-0.5;0.1969697;-0.4;-0.5;0.045830213;-0.10377359;0.5;0;1.0;0.6666667;0;0.21719308;-0.19838442;1;0.12949714;0.18611224;-0.030612245;0.18902439;-0.42357355;-1.3;0.0;0;-0.3825742;-0.21830986;https://www.pisos.com/comprar/piso-arganzuela_delicias-48421633108_103700/;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.25664207
-0.7804878;-0.2614108;0.33333334;-0.25301206;0.6828032;-0.45833334;-0.25;-0.28787878;-0.4857143;0.0;-0.11470139;-0.047169812;0.5;0;0.0;3.3333333;0;-0.20060423;0.0;1;0.0;1.7928946;0.07653061;0.2621951;1.1724856;-0.45;0.0;0;0.5819122;0.49295774;https://www.indomio.es/anuncios/96865499/;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.0732305
0.0;-0.21576764;0.0;-0.6626506;0.0;-0.16666667;-0.625;0.6515151;-1.3142858;0.25;-0.19729331;0.0;1.5;0;-0.5;-0.6666667;0;-0.06152156;1.1183178;-1;-0.10246321;0.0;-0.66007656;-0.43292683;0.0;0.45;0.0;0;0.065477945;0.8802817;https://www.pisos.com/comprar/piso-centro_palacio28005-48431095341_100500/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.15165213
0.8292683;-0.7261411;0.0;0.6987952;-0.7892928;0.375;0.75;0.28787878;1.0;-1.0;0.021357616;-0.16981132;-0.5;0;1.0;-1.0;0;-0.09815985;-1.3373723;1;-0.05035432;0.107791685;-0.1690051;-0.16463415;-0.555297;-0.65;0.0;0;-0.5314769;-0.3802817;https://www.indomio.es/anuncios/96774457/;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.31963605
0.0;1.8257262;-0.6666667;-0.6506024;0.0;-0.20833333;-0.625;-0.07575758;-1.3142858;0.25;-0.19729331;0.0;0.5;0;-0.5;0.6666667;0;1.1855534;1.1183178;-1;-0.10246321;0.0;-0.28061223;-0.7134146;0.0;0.45;0.0;0;-0.29233158;0.8028169;https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-46730391373_100500/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.33130157
0.024390243;1.593361;0.0;1.686747;-0.42304555;0.8333333;1.75;14.984848;0.51428574;-0.75;0.38155508;0.7075472;0.5;0;0.5;-0.6666667;0;-0.3967042;-0.95402706;3;0.26432613;0.30843762;-0.14668368;-0.15243903;-0.56386876;-0.65;0.0;0;-0.37020892;-0.4084507;https://www.indomio.es/anuncios/89877827/;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.15631835
1.9512196;1.6141078;0.0;0.79518074;-0.7966911;1.5;0.875;6.9848485;0.6;-1.25;0.8027067;1.0471698;-0.5;0;1.5;0.6666667;0;1.1251304;0.16239011;1;1.6336366;-0.89947516;-0.50382656;-0.34756097;-0.6354348;0.55;0.0;0;-0.5939273;0.028169014;https://www.pisos.com/comprar/piso-san_diego28053-45837894764_100500/;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.34530023
